OMIM_gene,OMIM_disease_ch,OMIM_id
DPM1,先天性糖基化障碍，Ie型,603503
DPM2,先天性糖基化障碍，Iu型,603564
DPM3,先天性糖基化障碍，Io型,605951
DPP6,室颤，阵发性家族性，2 ;智力低下，常染色体显性33,126141
DPY19L2,精子形成障碍9,613893
DPYD,5-氟尿嘧啶的毒性 ;二氢嘧啶脱氢酶缺乏症 ,612779
DPYS,Dihydropyrimidinuria？？？,613326
DRAM2,视锥-视杆营养不良21,613360
DRC1,原发性纤毛运动障碍，21,615288
DRD3,原发性震颤，易感;精神分裂症，易感,126451
DRD4,猎奇人格;注意缺乏症多动障碍;自主神经系统功能不良,126452
DRD5,注意缺乏症多动障碍，易感;眼睑痉挛，原发性良性;张力失调，原发性宫颈 ,126453
DSC2,"致心律失常性右心室发育不良11,伴随轻度掌跖角化病和羊毛状头发;致心律失常性右心室发育不良11",125645
DSC3,稀毛症和复发性皮肤囊泡,600271
DSE,Ehlers-Danlos综合征，肌挛缩型2,605942
DSG1,"红皮病，先天性，伴随掌跖角化病，少毛症和IgE亢奋;角化症掌跖白芨I, AD",125670
DSG2,致心律失常性右心室发育不良10;扩张性心肌病 1BB,125671
DSG4,稀毛症6,607892
DSP,致心律失常性右心室发育不良8;扩张性心肌病伴随羊毛样头发和掌跖角化病 ;扩张型心肌病伴随羊毛状毛发，皮肤角化，和牙齿发育不全;大疱性表皮松解症，致死性棘层松解;角化症掌跖白芨II;脆性皮肤毛发卷曲综合征,125647
DSPP,耳聋，常染色体显性遗传39，伴牙本质发育不全;牙本质发育异常，II型;牙本质发育不全，Shields II型;牙本质发育不全，Shields III型,125485
DSPS,睡眠时相延迟综合征，易感性 ,614163
DST,神经病变，遗传性感觉和自主神经，Ⅵ型 ;单一性大疱性表皮松解症，常染色体隐性遗传2,113810
DSTYK,先天性肾和泌尿道异常，易感 ,612666
DTNA,左室心肌致密化不全1，伴或不伴先天性心脏缺乏症 ,601239
DTNBP1,Hermansky-Pudlak综合征7,607145
DUH1,遗传全身性色素异常症1,127500
DUH2,遗传性全身性色素异常症2 ,612715
DUOX2,甲状腺分泌障碍6型,606759
DUOXA2,甲状腺分泌障碍5,612772
DUP14q32,骨髓增殖性肿瘤，家族性，易感性,616604
DUP16p11.2,自闭症，易感，14B;染色体16p11.2重复综合征,614671
DUP16p13.3,染色体16p13.3重复综合征,613458
DUP17p13.3,染色体17p13.3重复综合征,613215
DUP17q12,染色体17q12重复综合征,614526
DUP17q21.31,染色体17q21.31重复综合征,613533
DUP17q23.1q23.2,染色体17q23.1-q23.2重复综合征,613618
DUP18pDEL18q,染色体18着丝粒反转,609334
DUP1q21,染色体1q21.1重复综合征,612475
DUP22q11.2,染色体22q11.2微重复综合征,608363
DUP22q13,染色体22q13重复综合征,615538
DUP2q31.1,染色体2q31.1重复综合征,613681
DUP2q35,并指（趾）1型，伴随或不伴随颅缝早闭 ,185900
DUP3q29,染色体3q29微重复综合征,611936
DUP5p13,染色体5p13重复综合征,613174
DUP7q11.23,染色体7q11.23重复综合征,609757
DUP8q22.1,Leri骨化过早重复染色体综合征（8q22.1重复综合征）,151200
DUPC1,掌腱膜挛缩症1 ,126900
DUPXp11.22,Xp11.22微重复综合征,300705
DUPXp11.23p11.22,染色体Xp11.23-p11.22重复综合征 ,300801
DUPXq27.3q28,染色体Xq27.3-q28重复综合征 ,300869
DUPXq28,染色体Xp28重复综合征 ,300815
DURS1,Duane回缩综合征1,126800
DUSP6,低促性腺素性功能减退症19伴或不伴嗅觉缺失,602748
DVL1,Robinow症候群，常染色体显性遗传2 ,601365
DVL3,Robinow症候群，常染色体显性遗传3,601368
DWS,Dandy-Walker综合征,220200
DXS423E,Cornelia de Lange综合征2,300040
DYM,Dyggve-Melchior-Clausen病;Smith-McCort发育不良,607461
DYNC1H1,轴突型Charcot-Marie-Tooth病，20型;智力低下，常染色体显性遗传13;儿童发病型近端脊肌萎缩1型，AD,600112
DYNC2H1,短肋胸廓发育不良伴或不伴多指综合征3型,603297
DYRK1A,智力低下，常染色体显性遗传7,600855
DYRK1B,腹部肥胖代谢综合征3,604556
DYSF,Miyoshi肌营养不良1 ;肢带型肌营养不良，2B型;远端肌病伴胫骨前端发病型,603009
DYT1,肌张力失常-1，修饰性;张力失调-1，扭转,605204
DYT13,张力失调13，扭转 ,607671
DYT15,肌阵挛性张力失调-15,607488
DYT17,张力失调-17，原发性扭转 ,612406
DYT21,张力失调21,614588
DYT7,张力失调-7，扭转,602124
DYX1C1,读写困难，易感，1;原发性纤毛运动障碍，25,608706
DYX3,读写困难，易感，3,604254
DYX5,读写困难，易感，5,606896
DYX6,读写困难，易感，6,606616
DYX8,读写困难，易感，8,608995
DYX9,读写困难，易感性，9,300509
EA3,发作性共济失调，3型,606554
EA7,发作性共济失调，7型,611907
EA8,发作性共济失调，8型,616055
EARS2,复合型氧化磷酸化缺陷症12,612799
EBAF,左右轴畸形 ,601877
EBP,软骨发育异常，X连锁显性;MEND综合征,300205
ECA1,癫痫，儿童缺失，1 ,600131
ECE1,原发性高血压，易感性;先天性巨结肠症，心脏畸形，自主神经功能障碍 ,600423
ECEL1,关节弯曲，远端，5D型,605896
ECHS1,线粒体短链烯酰辅酶A水合酶1缺乏症,602292
ECM1,Urbach-Wiethe病,602201
ECT,中央-颞区癫痫 ,117100
ECTD5,外胚层发育不良5，毛发/牙齿型,614927
ECTD6,外胚层发育不良6，毛发/牙齿型,614928
ECTD8,外胚层发育不良8，毛发/牙齿/指甲型,602401
EDA,少汗性外胚层发育不良1，X连锁;选择性牙齿发育不全，X连锁1 ,300451
EDAR,头发形态1，头发厚度 ;外胚层发育不良10A，少汗/毛发/牙齿型，常染色体显性遗传;外胚层发育不良10B，少汗/毛发/牙齿型，常染色体隐性遗传,604095
EDARADD,外胚层发育不良11A，少汗/毛发/牙齿型，常染色体显性遗传;外胚层发育不良11B，少汗/毛发/牙齿型，常染色体隐性遗传,606603
EDC3,精神运动性阻滞，常染色体隐性遗传50,609842
EDN1,高密度脂蛋白胆固醇水平的QTL7;耳髁突综合征3型;问号耳，孤立性,131240
EDN3,先天性巨结肠症，易感，4;先天性致死型中枢性肺换气不足综合征;Waardenburg综合征，4B型,131242
EDNRA,偏头痛，耐药性;下颌骨颜面发育不全伴脱发 ,131243
EDNRB,先天性巨结肠症，易感，2;ABCD综合征（阿霉素综合征）;Waardenburg综合征，4A型,131244
EDS8,Ehlers-Danlos综合征，VIII型,130080
EDSS2,外胚层发育不良-并指综合征2,613576
EEC1,EEC综合征：外胚叶发育异常，缺指（趾）和腭裂 ,129900
EEF1A2,癫痫性脑病，早发幼儿，33;智力低下，常染色体显性遗传38,602959
EEF2,脊髓小脑性共济失调 ,130610
EFEMP1,蜂巢状视网膜营养不良,601548
EFEMP2,皮肤松弛，常染色体隐性遗传，IB型,604633
EFHC1,青少年失神性癫痫易感性1型;肌阵挛性癫痫，青少年，易感性，1,608815
EFNB1,颅额鼻发育不良 ,300035
EFTUD2,下颌骨颜面发育不全，Guion Almeida型,603892
EGF,低镁血症4、肾,131530
EGFR,新生儿皮肤和肠道的炎症性疾病 ;非小细胞肺癌，易感;肺腺癌，回应酪氨酸激酶抑制剂;非小细胞肺癌，对酪氨酸激酶抑制剂的反应,131550
EGLN1,血红蛋白，高原适应;家族性红细胞增多症，3,606425
EGR2,Charcot（腓骨肌萎缩症）-Marie-Tooth 疾病，1D型;Dejerine-Sottas疾病;神经疾病，先天性hypomyelinating，1,129010
EHBP1,前列腺癌，遗传性，12,609922
EHHADH,Fanconi renotubular综合征3,607037
EHMT1,Kleefstra综合征,607001
EIF2AK3,Wolcott-Rallison综合征（多发性骨骺发育不良伴早发糖尿病）,604032
EIF2AK4,肺静脉闭塞性疾病2,609280
EIF2B1,白质消融性脑白质病,606686
EIF2B2,白质消融性脑白质病;卵巢白质发育不良,606454
EIF2B3,白质消融性脑白质病,606273
EIF2B4,白质消融性脑白质病;卵巢白质发育不良,606687
EIF2B5,白质消融性脑白质病;卵巢白质发育不良,603945
EIF4E,自闭症易感19型,133440
EIF4G1,帕金森病18,600495
EIG1,特发性全身性癫痫易感1型,600669
EIG2,特发性全身性癫痫易感2型,606972
EIG3,特发性全身性癫痫易感3型,608762
EIG4,特发性全身性癫痫易感4型,609750
EIG5,特发性全身性癫痫易感5型,611934
EIG7,特发性全身性癫痫易感7型;癫痫，青少年肌阵挛 ,604827
EJM3,癫痫，青少年肌阵挛3,608816
EJM4,肌阵挛性癫痫，青少年，4 ,611364
EJM9,青少年失神性癫痫易感性9型,614280
EKD2,家族性发作性运动诱发性运动障碍2型,611031
ELAC2,前列腺癌，遗传性，2，易感;复合型氧化磷酸化缺陷症17,605367
ELANE,周期性粒细胞减少症;严重先天性中性白细胞减少症1型，常染色体显性遗传,130130
ELAVL4,副肿瘤性感觉神经疾病,168360
ELMOD3,耳聋，常染色体隐性遗传88,615427
ELN,常染色体显性皮肤松弛症;Supravalvar主动脉瓣狭窄 ,130160
ELOVL4,脊髓小脑性共济失调34;鱼鳞病，四肢瘫痪性痉挛及智力低下;Stargardt病3,605512
ELOVL5,脊髓小脑性共济失调38,611805
ELP4,孤立型无虹膜,606985
EMC1,小脑萎缩、视力障碍、精神发育阻滞,616846
EMD,Emery-Dreifuss肌营养不良症1，X连锁,300384
EMG1,鲍恩-康拉迪综合征（BCS）,611531
EMP2,肾病综合征，10型 ,602334
EMWX,发作性肌无力，X连锁,300211
EMX2,脑裂畸形,600035
ENAM,釉质发育不全，IB型;釉质发育不全，IC型,606585
ENDO1,子宫内膜异位症，易感 ,131200
ENFL2,癫痫，夜间额叶，2型,603204
ENG,毛细血管扩张症，遗传性出血性，1型 ,131195
ENO1,烯醇酶缺乏症,172430
ENO3,糖原贮积症XⅢ型,131370
ENPP1,糖尿病，非胰岛素依赖型，易感;肥胖，易感;动脉钙化，全身性，婴儿期1;科尔病;低磷性佝偻病，常染色体隐性遗传，2,173335
ENTPD1,痉挛性截瘫64，常染色体隐性遗传 ,601752
ENUR1,遗尿，夜间，1 ,600631
ENUR2,遗尿，夜间，2,600808
EOE1,食管炎，嗜酸性粒细胞，1 ,610247
EOE2,食管炎，嗜酸性粒细胞，2,613412
EOGT,Adams-Oliver综合征4,614789
EOS,嗜酸性粒细胞增多症、家族性,131400
EP300,结直肠癌，体细胞;Rubinstein-Taybi综合征2,602700
EPAS1,家族性红细胞增多症，4,603349
EPB41,椭圆形红细胞增多症-1,130500
EPB41L1,精神运动性阻滞，常染色体显性遗传11,602879
EPB42,球形细胞增多症，5型,177070
EPCAM,结直肠癌，遗传性非息肉病性，8型;腹泄5，伴随丛毛肠下垂 ，先天性,185535
EPG5,Vici综合征,615068
EPHA2,白内障6，多基因控制性,176946
EPHB2,前列腺癌/脑肿瘤易感性，体细胞,600997
EPHX1,"胎儿乙内酰脲综合征;子痫前期，易感, 189800;苯妥英钠中毒;Hypercholanemia，家族性",132810
EPHX2,高胆固醇血症，家族性，由于低密度脂蛋白受体缺乏症，修改,132811
EPM2A,癫痫，进行性肌阵挛2A(Lafora),607566
EPO,糖尿病的微血管并发症2,133170
EPOR,红细胞增多症、家族性,133171
EPPS,癫痫，部分，伴随周围的尖峰 ,607221
EPRPDC,癫痫，伴阵发性运动诱发的肌张力障碍和书写痉挛 ,608105
EPS8,耳聋，常染色体隐性遗传102,600206
EPX,嗜酸粒细胞过氧化物酶缺乏症,131399
ERBB2,"肺腺癌，体细胞;胃癌，体细胞, 613659 (3);胶质胚细胞瘤，体细胞;卵巢癌，体细胞",164870
ERBB3,致死性先天性挛缩综合征2 ,190151
ERBB4,肌萎缩性侧索硬化症19型,600543
ERCC1,Cerebrooculofacioskeletal综合征4,126380
ERCC2,Cerebrooculofacioskeletal综合征2;毛发低硫营养不良1，光敏 ;着色性干皮病，D群体,126340
ERCC3,毛发低硫营养不良2，光敏 ;着色性干皮病，B组,133510
ERCC4,XFE早老综合征;范可尼贫血，互补群Q ;着色性干皮病，F群体;着色性干皮病/ F型Cockayne综合征,133520
ERCC5,Cerebrooculofacioskeletal综合征3;着色性干皮病，G群体;着色性干皮病，G群体/ Cockayne综合征,133530
ERCC6,肺癌，易感性;黄斑变性，与年龄有关，易感5;脑-眼-面-骨骼综合征1型;Cockayne综合征，B型;De Sanctis-Cacchione综合征;卵巢早衰11型;UV敏感综合征1,609413
ERCC6L2,骨髓衰竭综合征2,615667
ERCC8,Cockayne综合征，A型;UV敏感综合征2,609412
ERF,颅缝早闭4,611888
ERLIN1,痉挛性截瘫62,611604
ERLIN2,痉挛性截瘫18，常染色体隐性遗传,611605
ERMAP,"血型，Radin;血型, Scianna系统",609017
ERMARD,室周结节状异位6,615532
ESCO2,Roberts综合征;SC短肢畸形综合征 ,609353
ESPN,耳聋，常染色体隐性遗传36;耳聋，感觉神经的，不伴前庭受累，常染色体显性遗传 ,606351
ESR1,"动脉粥样硬化，易感;乳腺癌;高密度脂蛋白对激素替代的反应，增强扩张;偏头痛，易感;心肌梗死，易感, 608446;雌激素耐药性",133430
ESRRB,耳聋，常染色体隐性遗传35,602167
ETFA,戊二酸血症IIA ,608053
ETFB,戊二酸血症IIB,130410
ETFDH,戊二酸血症IIC,231675
ETHE1,乙基丙二酸脑病,608451
ETL2,癫痫，家族性颞叶，2,608096
ETL3,癫痫，家族性颞叶，3,611630
ETL4,癫痫，家族性颞叶，4,611631
ETL6,癫痫，家族性颞叶，6,615697
ETM2,震颤，遗传本质，2,602134
ETM3,震颤，遗传本质，3,611456
ETV6,白血病，急性髓系白血病，体细胞;血小板减少5,600618
EVC,埃-范二氏综合征;Weyers面骨发育不良,604831
EVR3,渗出性玻璃体视网膜病变3,605750
EWSR1,Ewing肉瘤;神经上皮瘤 ,133450
EXOSC3,脑桥小脑发育不全，1B型,606489
EXOSC8,脑桥小脑发育不全，1C型,606019
EXPH5,大疱性表皮松解症，常染色体隐性遗传,612878
EXT1,软骨肉瘤;遗传多发性软骨瘤1型,608177
EXT2,癫痫发作，脊柱侧弯，和巨脑畸形综合征;遗传多发性软骨瘤2型,608210
EXT3,遗传多发性软骨瘤3型,600209
EYA1,Otofaciocervical综合征 ;眼前节异常伴或不伴白内障 ;鳃耳综合征1;鳃裂-耳-肾综合征1型，伴或不伴白内障,601653
EYA4,肢带型肌营养不良1J;耳聋，常染色体显性遗传10,603550
EYS,视网膜色素变性25,612424
EZH2,Weaver综合征 ,601573
F10,X因子缺乏症,613872
F11,因子XI缺乏症，常染色体显性遗传;因子XI缺乏症，常染色体隐性遗传,264900
F12,遗传性血管性水肿，III型;XII因子缺乏症,610619
F13A1,心肌梗死，保护性;静脉血栓形成，预防;因子XIIIA缺乏症，常染色体显性遗传,134570
F13B,因子XIIIB缺乏症，常染色体显性遗传,134580
F2,妊娠丢失，复发，易感，2 ;脑卒中，缺血性，易感;凝血酶原缺乏症;低凝血酶原血症 ;凝血酶缺乏性血栓形成倾向,176930
F5,Budd-Chiari综合征;复发性流产易感1型;脑卒中，缺血性，易感;凝血因子V相关莱顿易栓症;V因子缺乏症;血栓形成倾向由于激活蛋白C抗性,612309
F7,心肌梗塞，减少的易感性;VII因子缺乏症,613878
F8,甲型血友病,300841
F9,深静脉血栓形成，预防;华法林的敏感性;乙型血友病;血栓形成倾向，X连锁，由于因子IX缺陷 ,300746
FA2H,痉挛性截瘫35，常染色体隐性遗传 ,611026
FAAH,药物成瘾，易感性 ,602935
FAAP95,范可尼贫血症，互补群B,300515
FADD,感染，反复发作，伴随脑病、肝功能障碍、和心血管畸形 ,602457
FAH,酪氨酸血症，I型,613871
FAM111A,细长骨发育不良 ;Kenny Caffey综合征2型,615292
FAM111B,皮肤异色症，遗传性纤维化，伴随肌腱挛缩，肌病，和肺纤维化 ,615584
FAM126A,低髓鞘化脑白质营养不良 ，5,610531
FAM134B,神经病变，遗传性感觉和自主神经，IIB型 ,613114
FAM161A,视网膜色素变性28,613596
FAM20A,釉质发育不全，IG型,611062
FAM20C,Raine综合征,611061
FAM58A,STAR综合征（并趾、内眦过宽、肛门生殖器及肾脏异常）,300708
FAM65B,耳聋，常染色体隐性遗传104,611410
FAM83H,釉质发育不全，III型,611927
FAME1,癫痫，肌阵挛的，家族成人，1,601068
FAME3,癫痫，肌阵挛的，家族成人，3,613608
FAME4,癫痫，肌阵挛的，家族成人，4,615127
FAN1,间质性肾炎，karyomegalic ,613534
FANCA,范可尼贫血，互补群A,607139
FANCC,范可尼贫血，互补群C,613899
FANCD2,范可尼贫血，互补群D2,613984
FANCE,范可尼贫血，互补群E,613976
FANCF,范可尼贫血，互补群F,613897
FANCI,范可尼贫血，互补群I,611360
FAR1,过氧化物酶脂肪酸乙酰基辅酶A还原酶1型疾病,616107
FARS2,复合型氧化磷酸化缺陷症14,611592
FAS,自身免疫性淋巴细胞增生综合征 ;自身免疫性淋巴细胞增生综合征，IA型;鳞状细胞癌，烧伤瘢痕相关，体细胞 ,134637
FASLG,肺癌，易感;自身免疫性淋巴细胞增生综合征，IB型,134638
FASTKD2,线粒体复合物IV缺乏症,612322
FAT4,Hennekam淋巴管扩张-淋巴水肿综合征2;Van Maldergem综合征2,612411
FBLN1,"多指并指， 3/3'4,与掌骨和跖骨融合病变相关",135820
FBLN5,皮肤松弛，常染色体显性遗传2;皮肤松弛，常染色体隐性遗传，IA型;黄斑变性、年龄相关，3;神经病变，遗传性，伴或不伴与年龄相关性黄斑变性 ,604580
FBN1,Acromicric发育不良;主动脉瘤，上升，解剖 ;晶状体异位，家族性;Geleophysic发育不良2型;马凡脂肪营养不良综合征;马凡综合征;MASS综合征;皮肤僵硬综合征;Weill-Marchesani综合征2，常染色体显性,134797
FBN2,蜘蛛样趾挛缩，先天性;黄斑变性，早发性,612570
FBP1,果糖-1，6－二磷酸酶缺乏症 ,611570
FBXL4,线粒体DNA缺失综合征13（脑肌病型）,605654
FBXO31,精神运动性阻滞，常染色体隐性遗传45,609102
FBXO38,神经疾病，远端型遗传性运动，IID型,608533
FBXO7,帕金森病15，常染色体隐性遗传,605648
FCGR1A,IgG受体I，噬菌细胞，家族性缺乏症,146760
FCGR2A,狼疮性肾炎，易感;疟疾，严重的，易感;铜绿假单胞菌，慢性感染的易感，在囊性纤维中,146790
FCGR2B,疟疾，抗性;系统性红斑狼疮，易感,604590
FCGR2C,血小板减少性紫癜，自身免疫性 ,612169
FCGR3A,免疫缺陷症20,146740
FCGR3B,嗜中性白血球减少症，同种免疫性新生儿 ,610665
FCN3,免疫缺陷症由于胶原凝集素3缺乏症 ,604973
FCYT,多囊肾与肝病 ,606702
FDPS,汗孔角化症9，多类型,134629
FECD2,角膜营养不良，Fuchs内皮，2,610158
FECD5,角膜营养不良，Fuchs内皮，5,613269
FECD7,角膜营养不良，Fuchs内皮，7,613271
FECH,原卟啉症，红细胞生成的，常染色体隐性遗传 ,612386
FEZF1,低促性腺素性功能减退症22伴或不伴嗅觉缺失,613301
FFAR4,肥胖，易感,609044
FGA,无纤维蛋白原血症、先天性;家族性内脏淀粉样病变;异常纤维蛋白原血症、先天性 ;Hypodysfibrinogenemia，先天性,134820
FGB,无纤维蛋白原血症、先天性;异常纤维蛋白原血症、先天性 ;低纤维蛋白原血症、先天性 ,134830
FGD1,阿-斯综合征;X连锁综合征型智力低下16型,300546
FGD4,Charcot-Marie-Tooth病，4H型,611104
FGF10,泪腺和唾液腺发育不全 ;泪管-耳-齿-指综合征,602115
FGF14,脊髓小脑性共济失调27,601515
FGF16,掌骨4-5融合,300827
FGF17,低促性腺素性功能减退症20伴或不伴嗅觉缺失,603725
FGF20,肾发育不良2型,605558
FGF23,低磷性佝偻病，常染色体显性遗传 ;骨软化，肿瘤诱导;肿瘤样钙沉着症，高血磷，家族性,605380
FGF3,先天性耳聋伴内耳发育不全，小耳、小牙畸形,164950
FGF5,睫毛粗长症,165190
FGF8,低促性腺素性功能减退症6伴或不伴嗅觉缺失,600483
FGF9,多融合病变综合征3,600921
FGFR1,脑颅皮肤脂肪过多症 ;Hartsfield综合征; Kallmann综合征(性腺功能减退2伴随或不伴随嗅觉缺失);Jackson-Weiss综合征;Osteoglophonic发育不良;Pfeiffer综合征;三角头畸形1,136350
FGFR1OP,骨髓增生性疾病 ,605392
FGFR2,"Antley-Bixler综合征无生殖器畸形和失调的类固醇生成;Apert综合征;Beare-Stevenson皮肤状综合征;弯曲骨发育不良综合征;颅面-骨骼-皮肤发育不良;颅缝早闭，非特异性;Crouzon综合征;胃癌，体细胞, 613659 (3);Jackson-Weiss综合征;LADD综合征（泪管-耳-齿-指综合征）;Pfeiffer综合征;Saethre-Chotzen综合征;舟状头（畸形）和Axenfeld-Rieger畸形;舟状头（畸形），上颌后缩，和精神运动性阻滞",176943
FGFR3,软骨发育不全 ;膀胱癌，体细胞 ;CATSHL综合征（小指僵直、身材高大及耳聋综合征）;宫颈癌，体细胞;结直肠癌，体细胞;Crouzon综合征伴黑棘皮病 ;软骨发育不良 ;LADD综合征（泪管-耳-齿-指综合征）;Muenke综合征;表皮痣，体细胞;发育迟缓和黑棘皮病(SADDAN);精母细胞瘤，体细胞;致死性发育不良，I型;致死性发育不良，II型,134934
FGFR4,癌症进展/转移,134935
FGG,无纤维蛋白原血症、先天性;异常纤维蛋白原血症、先天性 ;Hypodysfibrinogenemia;低纤维蛋白原血症、先天性,134850
FGQTL1,空腹血浆葡萄糖水平QTL 1,612108
FGQTL2,初生重量QTL1;空腹血浆葡萄糖水平QTL 2,613219
FGQTL3,空腹血浆葡萄糖水平QTL 3,613233
FGQTL4,空腹血浆葡萄糖水平QTL 4,613462
FGQTL6,初生重量QTL3;空腹血浆葡萄糖水平QTL 6;血糖、2h、QTL1 ,613460
FGS3,FG综合征3,300406
FGS5,FG综合征5,300581
FH,延胡索酸酶缺乏症;遗传性平滑肌瘤病和肾细胞癌 ,136850
FHII,高醛甾酮症，家族性，II型,605635
FHL1,家族性嗜血细胞性淋巴组织细胞增多症1型,267700
FHL1,家族性嗜血细胞性淋巴组织细胞增多症1型,300163
FIG4,小脑，双侧颞枕;肌萎缩性侧索硬化症11型;Charcot-Marie-Tooth病，4J型;Yunis-Varon综合征,609390
FIGLA,卵巢早衰6型,608697
FIQTL1,空腹胰岛素水平定量性状基因座1 ,606035
FKBP10,Bruck综合征1;成骨不全，XI型 ,607063
FKBP14,Ehlers-Danlos综合征，伴随渐进性脊柱侧后凸畸形，肌病，和听力损失 ,614505
FKBP5,严重抑郁障碍和对抗抑郁药物治疗的快速应答,602623
FKRP,先天性肌营养不良-抗肌萎缩相关糖蛋白病伴脑眼异常A型，5;先天性肌营养不良-抗肌萎缩相关糖蛋白病伴或不伴智力低下B型，5;肌营养不良-抗肌萎缩相关糖蛋白病（肢带型），C型，5(肢带型肌营养不良2I型),606596
FKTN,肢带型肌营养不良1X ;先天性肌营养不良-抗肌萎缩相关糖蛋白病伴脑眼异常A型，4;先天性肌营养不良-抗肌萎缩相关糖蛋白病不伴智力低下B型，4;肌营养不良-抗肌萎缩相关糖蛋白病（肢带型），C型，4(肢带型肌营养不良2M型),607440
FL1,滤泡性淋巴瘤，易感，1 ,613024
FLAD1,脂质沉积性肌病由于黄素腺嘌呤二核苷酸合成酶缺乏症,610595
FLCN,Birt-Hogg-Dube综合征;结直肠癌，体细胞;自发性气胸，原发性;肾癌，不易染色的细胞，体细胞,607273
FLG,遗传性过敏型皮炎，易感;寻常型鱼鳞病,135940
FLJ22792,卵巢早衰2B,300603
FLNA,心脏瓣膜发育不良，X连锁;先天性短肠综合征;FG综合征2;额骨干骺端发育不良;异位，室周;异位，室周，ED变异;神经性假性肠梗阻（慢性特发性黄瘤病性新生儿假性肠梗阻）;Melnick-Needles综合征;耳腭指综合征，I型;耳腭指综合征，II型;终端骨发育不全,300017
FLNB,骨发育不全症，I型;骨发育不全症，III型;Boomerang发育不良;拉尔森（氏）综合征：腭裂-先天性多基因控制性脱位症候群 ;椎囊骨性联接综合征,603381
FLNC,远端肌病4型;肌原纤维肌病5型,102565
FLRT3,低促性腺素性功能减退症21伴嗅觉缺失,604808
FLT3,急性淋巴细胞白血病，体细胞;急性髓系白血病，减少生存，体细胞;急性髓系白血病，体细胞,136351
FLT4,婴儿型毛细血管瘤，体细胞;遗传性淋巴水肿IA型,136352
FLVCR1,共济失调，后柱，伴随色素性视网膜炎,609144
FLVCR2,增生性血管病变和hydraencephaly-脑积水综合征,610865
FMN2,智力低下，常染色体隐性遗传47,606373
FMO3,三甲基胺尿症,136132
FMR1,脆性X综合征 ;脆性X相关震颤/共济失调综合征 ;卵巢早衰1,309550
FN1,肾小球纤维连接蛋白沉积2;血浆纤维粘连蛋白缺乏症,135600
FOLR1,神经退行性疾病由于脑叶酸转运缺乏症,136430
FOXC1,"Axenfeld-Rieger综合征,3型;虹膜发育不良1型;虹膜发育不良和青光眼 ;Rieger or Axenfeld异常",601090
FOXC2,双行睫-淋巴水肿综合征伴随肾脏疾病和糖尿病 ;双行睫-淋巴水肿综合征 ,602402
FOXD3,自身免疫性疾病，易感，1 ,611539
FOXE1,甲状腺癌，非髓样，4;Bamforth-Lazarus综合征,602617
FOXE3,前段间质发育不全;无晶体眼，先天性原发性,601094
FOXF1,肺泡毛细血管发育不良伴随肺静脉错位,601089
FOXG1,Rett综合征，先天性变异,164874
FOXI1,前庭水管扩大 ,601093
FOXL2,小睑裂、内眦赘皮，和上睑下垂，1型;小睑裂、内眦赘皮，和上睑下垂，2型;卵巢早衰3型,605597
FOXN1,T细胞免疫缺陷症，先天性脱发，和甲营养不良 ,600838
FOXO1A,横纹肌肉瘤，肺泡,136533
FOXP1,智力低下伴随语言障碍和伴或不伴自闭症倾向 ,605515
FOXP2,语言障碍-1,605317
FOXP3,"糖尿病，I型，易感性 ;IPEX综合征（免疫失调，多基因控制性内分泌症，和肠下垂,X-连锁）",300292
FOXRED1,Leigh综合征由于线粒体复合物I缺乏症;线粒体复合物I缺乏症,613622
FPH1,色素沉着过度，家族性进行性，1,614233
FRAS1,Fraser综合征 ,607830
FRDA2,Friedreich共济失调2,601992
FREM1,两裂鼻伴或不伴肛门直肠和肾畸形 ;Manitoba oculotrichoanal综合征;三角头畸形2,608944
FREM2,Fraser综合征 ,608945
FRIASS,Frias综合征,609640
FRMD4A,胼胝体，发育不全，伴随面部异常和小脑性共济失调 ,616305
FRMD7,X连锁先天性眼球震颤1;眼球震颤6，小儿周期性的交替，X连锁,300628
FRRS1L,癫痫性脑病，早发幼儿，37,604574
FRTS1,范可尼肾小管综合征1型,134600
FRZB,骨性关节炎易感性1,605083
FSCN2,视网膜色素变性30,607643
FSHB,性腺功能减退24不伴随嗅觉缺失,136530
FSHD1,面肩胛臂肌营养不良1,158900
FSHR,卵巢发育不全1;卵巢过度刺激综合征;FSH刺激卵巢反应,136435
FTCD,谷氨酸亚胺基甲基转移酶缺乏症 ,606806
FTH1,血色素沉着症，5型,134770
FTL,hyperferritinemia白内障综合征 ;L-铁缺乏症，显性和隐性遗传;神经退行性疾病伴随脑部铁元素积累3,134790
FTO,肥胖，易感，BMIQ14;生长迟滞，发育迟缓，面部畸形 ,610966
FTSJ1,智力低下，X连锁9,300499
FUCA1,岩藻糖苷贮积病 ,612280
FUS,0;震颤，遗传性本质 ,137070
FUT1,Bombay表型,211100
FUT2,Bombay表型;Norwalk病毒感染，耐药性;维生素B12血浆水平的QTL1,182100
FUT3,血型，Lewis ,111100
FUT6,墨角藻糖基转移酶6缺乏症,136836
FUZ,神经管缺乏症 ,610622
FVT1,淋巴瘤/白血病，B细胞，变异型,136440
FWS,Forsythe Wakeling综合征 ,613606
FXN,Friedreich共济失调伴保留反射 ;Friedreich共济失调,606829
FXYD2,肾源性低镁血症2型,601814
FYCO1,白内障18，常染色体隐性遗传,607182
