Disease ID	Disease	TYPE of Disease	GeneSymbol	Inheritance
D-0131	Bartter综合征	泌尿生殖系统	CLCNKB	AR
D-0131	Bartter综合征	泌尿生殖系统	KCNJ1	AR
D-0131	Bartter综合征	泌尿生殖系统	SLC12A1	AR
D-0132	Gitelman综合征	泌尿生殖系统	SLC12A3	AR
D-0134	肾病综合征	泌尿生殖系统	NPHS1	AR
D-0134	肾病综合征	泌尿生殖系统	PLCE1	AR
D-0136	肾单位肾痨	泌尿生殖系统	GLIS2	AR
D-0136	肾单位肾痨	泌尿生殖系统	INVS	AR
D-0136	肾单位肾痨	泌尿生殖系统	NPHP1	AR
D-0136	肾单位肾痨	泌尿生殖系统	NPHP3	AR
D-0136	肾单位肾痨	泌尿生殖系统	NPHP4	AR
D-0136	肾单位肾痨	泌尿生殖系统	NEK8	AR
D-0136	肾单位肾痨	泌尿生殖系统	TMEM67	AR
D-0137	非典型溶血尿毒综合征	泌尿生殖系统	CFI	AR
D-0139	特发性高钙尿症	泌尿生殖系统	VDR	AR
D-0140	维生素D依赖性佝偻病I型	泌尿生殖系统	CYP27B1	AR
D-0145	辅酶Q10缺乏症	泌尿生殖系统	COQ2	AR
D-0145	辅酶Q10缺乏症	泌尿生殖系统	PDSS2	AR
D-0147	遗传性大疱性表皮松解症	内分泌系统	ITGB4	AR
D-0147	遗传性大疱性表皮松解症	内分泌系统	LAMB3	AR
D-0148	胱氨酸尿症	内分泌系统	SLC3A1	AR
D-0149	Schimke免疫-骨发育不良	内分泌系统	SMARCAL1	AR
D-0151	动作肌阵挛-肾衰竭综合征	内分泌系统	SCARB2	AR
D-0153	Pierson综合征	内分泌系统	LAMB2	AR
D-0156	46,XY性发育不全综合征	内分泌系统	CBX2	AR
D-0156	46,XY性发育不全综合征	内分泌系统	DHH	AR
D-0156	46,XY性发育不全综合征	内分泌系统	RSPO1	AR
D-0157	17-β羟基类固醇脱氢酶3缺乏症	内分泌系统	HSD17B3	AR
D-0159	糖尿病	内分泌系统	ABCC8	AR
D-0161	3β-羟基类固醇脱氢酶缺乏症	内分泌系统	HSD3B2	AR
D-0162	细胞色素P450氧化还原酶引起的类固醇生成障碍	内分泌系统	POR	AR
D-0164	永久性米勒管综合征	内分泌系统	AMH	AR
D-0169	芳香化酶缺乏症	内分泌系统	CYP19A1	AR
D-0172	枫糖尿病	内分泌系统	BCKDHA	AR
D-0172	枫糖尿病	内分泌系统	DBT	AR
D-0174	甲状腺机能减退	内分泌系统	PAX8	AR
D-0175	甲状腺激素合成障碍	内分泌系统	SLC5A5	AR
D-0175	甲状腺激素合成障碍	内分泌系统	DUOX2	AR
D-0175	甲状腺激素合成障碍	内分泌系统	TG	AR
D-0175	甲状腺激素合成障碍	内分泌系统	TPO	AR
D-0177	5α-还原酶2型缺乏症	内分泌系统	SRD5A2	AR
D-0179	Kallmann综合征	内分泌系统	PROKR2	AR
D-0180	胆固醇单加氧酶缺乏症	内分泌系统	STAR	AR
D-0183	21-羟化酶缺乏症	内分泌系统	CYP21A2	AR
D-0184	11-β-羟化酶缺乏症	内分泌系统	CYP11B1	AR
D-0187	特发性低促性腺激素性腺功能减退症	内分泌系统	GNRHR	AR
D-0191	糖缺乏糖蛋白综合征	内分泌系统	TUSC3	AR
D-0192	CFTR相关障碍	呼吸系统	CFTR	AR
D-0193	先天性肺静脉错位肺泡毛细血管发育不良	呼吸系统	FOXF1	AR
D-0195	肺泡表面活性物质代谢障碍	呼吸系统	SFTPB	AR
D-0195	肺泡表面活性物质代谢障碍	呼吸系统	ABCA3	AR
D-0198	致死性紧密皮肤挛缩综合征	皮肤系统	ZMPSTE24	AR
D-0200	常染色体隐性先天性鳞癣	皮肤系统	TGM1	AR
D-0200	常染色体隐性先天性鳞癣	皮肤系统	ALOX12B	AR
D-0200	常染色体隐性先天性鳞癣	皮肤系统	ABCA12	AR
D-0201	大疱性表皮松解症	皮肤系统	COL17A1	AR
D-0201	大疱性表皮松解症	皮肤系统	LAMC2	AR
D-0201	大疱性表皮松解症	皮肤系统	LAMB3	AR
D-0201	大疱性表皮松解症	皮肤系统	ITGB4	AR
D-0201	大疱性表皮松解症	皮肤系统	LAMA3	AR
D-0206	Netherton综合征	皮肤系统	SPINK5	AR
D-0208	遗传性耳聋	五官及肿瘤	CLDN14	AR
D-0208	遗传性耳聋	五官及肿瘤	LHFPL5	AR
D-0208	遗传性耳聋	五官及肿瘤	MYO15A	AR
D-0208	遗传性耳聋	五官及肿瘤	OTOF	AR
D-0208	遗传性耳聋	五官及肿瘤	STRC	AR
D-0208	遗传性耳聋	五官及肿瘤	TMC1	AR
D-0208	遗传性耳聋	五官及肿瘤	TMIE	AR
D-0208	遗传性耳聋	五官及肿瘤	TMPRSS3	AR
D-0215	Shwachman-Diamond综合征	五官及肿瘤	SBDS	AR
D-0232	成骨不全症	骨骼系统	CRTAP	AR
D-0235	3-M综合征	骨骼系统	CUL7	AR
D-0243	多发性骨骺发育不良	骨骼系统	PEX7	AR
D-0246	维生素D依赖性佝偻病	骨骼系统	CYP27B1	AR
D-0246	维生素D依赖性佝偻病	骨骼系统	VDR	AR
D-0247	脊柱骨骺发育不良	骨骼系统	DDR2	AR
D-0252	多指畸形、骨骼发育异常和多囊肾	骨骼系统	DYNC2H1	AR
D-0256	婴儿期动脉钙化	骨骼系统	ENPP1	AR
D-0275	常染色体先天性身材矮小症	骨骼系统	GHSR	AR
D-0289	埃勒斯-当洛斯综合征	骨骼系统	CHST14	AR
D-0302	keutel综合征	骨骼系统	MGP	AR
D-0334	原发性常染色体隐性小头畸形Ⅴ	骨骼系统	ASPM	AR
D-0349	Schimke型免疫-骨发育不良	骨骼系统	SMARCAL1	AR
D-0361	Nasu-Hakola病	骨骼系统	TREM2	AR
D-0364	Nasu-Hakola病	骨骼系统	TYROBP	AR
D-0373	线粒体磷酸烯醇式丙酮酸羧化酶缺乏	神经系统	PCK2	AR
D-0375	Andermann综合征	神经系统	SLC12A6	AR
D-0378	共济失调-毛细血管扩张综合征	神经系统	ATM	AR
D-0379	布洛迪肌病	神经系统	ATP2A1	AR
D-0381	中枢神经系统海绵状变性	神经系统	ASPA	AR
D-0382	心脑肌病	神经系统	SCO2	AR
D-0383	肾脏肉碱转运缺陷	神经系统	SLC22A5	AR
D-0384	肉碱脂酰转移酶缺乏症	神经系统	SLC25A20	AR
D-0385	胆固醇贮积病	神经系统	CYP27A1	AR
D-0386	甘油三酯贮积病	神经系统	ABHD5	AR
D-0387	先天性白内障,面部畸形及神经病变	神经系统	CTDP1	AR
D-0389	年龄相关性黄斑变性	神经系统	ERCC6	AR
D-0390	性腺发育不全和听觉功能障碍	神经系统	HSD17B4	AR
D-0392	家族性自主神经异常	神经系统	IKBKAP	AR
D-0395	终板乙酰胆碱酯酶缺乏症	神经系统	COLQ	AR
D-0397	乙基丙二酸脑病	神经系统	ETHE1	AR
D-0399	岩藻糖苷贮积症	神经系统	FUCA1	AR
D-0400	巨轴突神经病	神经系统	GAN	AR
D-0403	低磷酸酯酶症	神经系统	ALPL	AR
D-0407	L-2-羟基戊二酸尿症	神经系统	L2HGDH	AR
D-0408	假新生儿肾上腺脑白质营养不良	神经系统	ACOX1	AR
D-0409	致死性先天性挛缩综合征	神经系统	GLE1	AR
D-0410	鞘脂激活蛋白1缺乏	神经系统	PSAP	AR
D-0411	肌神经胃肠脑病综合征	神经系统	TYMP	AR
D-0412	肌病,乳酸性酸中毒及铁粒幼细胞性贫血	神经系统	YARS2	AR
D-0412	肌病,乳酸性酸中毒及铁粒幼细胞性贫血	神经系统	PUS1	AR
D-0414	复发性肌红蛋白尿	神经系统	LPIN1	AR
D-0418	Pierson综合征	神经系统	LAMB2	AR
D-0419	视网膜色素变性及苍白球退化	神经系统	PANK2	AR
D-0420	中性脂质贮积性肌病	神经系统	PNPLA2	AR
D-0421	尼曼-皮克病	神经系统	SMPD1	AR
D-0427	多发性神经病、耳聋、共济失调、视网膜色素变性及白内障	神经系统	ABHD12	AR
D-0428	脑桥小脑发育不全	神经系统	TSEN2	AR
D-0428	脑桥小脑发育不全	神经系统	TSEN34	AR
D-0428	脑桥小脑发育不全	神经系统	TSEN54	AR
D-0428	脑桥小脑发育不全	神经系统	VRK1	AR
D-0430	5’-磷酸吡哆醛依赖性癫痫	神经系统	PNPO	AR
D-0431	植酸贮积病	神经系统	PHYH	AR
D-0432	婴幼儿重症型唾液酸贮积病	神经系统	SLC17A5	AR
D-0433	致命Kniest样综合征	神经系统	HSPG2	AR
D-0434	酪氨酸羟化酶缺乏症	神经系统	TH	AR
D-0437	Sjogren-Larsson综合征	神经系统	ALDH3A2	AR
D-0444	远端型遗传性运动神经病	神经系统	IGHMBP2	AR
D-0445	巨脑性白质脑病伴皮层下囊肿	神经系统	MLC1	AR
D-0449	先天性糖基化障碍	神经系统	ALG2	AR
D-0449	先天性糖基化障碍	神经系统	DPM3	AR
D-0454	脂肪代谢障碍	神经系统	PTRF	AR
D-0456	脊髓性肌萎缩	神经系统	IGHMBP2	AR
D-0456	脊髓性肌萎缩	神经系统	PLEKHG5	AR
D-0456	脊髓性肌萎缩	神经系统	SMN1	AR
D-0462	垂体激素缺乏	神经系统	PROP1	AR
D-0463	线状体肌病	神经系统	CFL2	AR
D-0463	线状体肌病	神经系统	NEB	AR
D-0463	线状体肌病	神经系统	TNNT1	AR
D-0464	脑白质病	神经系统	DARS2	AR
D-0464	脑白质病	神经系统	GALC	AR
D-0464	脑白质病	神经系统	RNASET2	AR
D-0464	脑白质病	神经系统	RNASET2	AR
D-0464	脑白质病	神经系统	SCP2	AR
D-0467	甘氨酸脑病	神经系统	AMT	AR
D-0467	甘氨酸脑病	神经系统	GCSH	AR
D-0467	甘氨酸脑病	神经系统	GLDC	AR
D-0469	神经病	神经系统	FAM134B	AR
D-0469	神经病	神经系统	IGHMBP2	AR
D-0470	帕金森症	神经系统	ATP13A2	AR
D-0470	帕金森症	神经系统	PINK1	AR
D-0471	癫痫相关基因	神经系统	ADSL	AR
D-0471	癫痫相关基因	神经系统	ALDH7A1	AR
D-0471	癫痫相关基因	神经系统	ARFGEF2	AR
D-0471	癫痫相关基因	神经系统	ATR	AR
D-0471	癫痫相关基因	神经系统	CNTNAP2	AR
D-0471	癫痫相关基因	神经系统	CSTB	AR
D-0471	癫痫相关基因	神经系统	EPM2A	AR
D-0471	癫痫相关基因	神经系统	FLVCR2	AR
D-0471	癫痫相关基因	神经系统	GATM	AR
D-0471	癫痫相关基因	神经系统	KCNJ10	AR
D-0471	癫痫相关基因	神经系统	MTHFR	AR
D-0471	癫痫相关基因	神经系统	NHLRC1	AR
D-0471	癫痫相关基因	神经系统	NODAL	AR
D-0471	癫痫相关基因	神经系统	NRXN1	AR
D-0471	癫痫相关基因	神经系统	PCNT	AR
D-0471	癫痫相关基因	神经系统	PNPO	AR
D-0471	癫痫相关基因	神经系统	PRICKLE1	AR
D-0471	癫痫相关基因	神经系统	RELN	AR
D-0471	癫痫相关基因	神经系统	SCARB2	AR
D-0471	癫痫相关基因	神经系统	SLC25A19	AR
D-0471	癫痫相关基因	神经系统	TBC1D24	AR
D-0472	脑白质营养不良	神经系统	ACOX1	AR
D-0472	脑白质营养不良	神经系统	ALDH3A2	AR
D-0472	脑白质营养不良	神经系统	ARSA	AR
D-0472	脑白质营养不良	神经系统	ASPA	AR
D-0472	脑白质营养不良	神经系统	COX15	AR
D-0472	脑白质营养不良	神经系统	COX6B1	AR
D-0472	脑白质营养不良	神经系统	CYP27A1	AR
D-0472	脑白质营养不良	神经系统	DARS2	AR
D-0472	脑白质营养不良	神经系统	DDC	AR
D-0472	脑白质营养不良	神经系统	DLD	AR
D-0472	脑白质营养不良	神经系统	ETHE1	AR
D-0472	脑白质营养不良	神经系统	FA2H	AR
D-0472	脑白质营养不良	神经系统	FAM126A	AR
D-0472	脑白质营养不良	神经系统	FASTKD2	AR
D-0472	脑白质营养不良	神经系统	FKTN	AR
D-0472	脑白质营养不良	神经系统	FOLR1	AR
D-0472	脑白质营养不良	神经系统	FUCA1	AR
D-0472	脑白质营养不良	神经系统	GALC	AR
D-0472	脑白质营养不良	神经系统	GAN	AR
D-0472	脑白质营养不良	神经系统	GJC2	AR
D-0472	脑白质营养不良	神经系统	HSD17B4	AR
D-0472	脑白质营养不良	神经系统	L2HGDH	AR
D-0472	脑白质营养不良	神经系统	MCCC1	AR
D-0472	脑白质营养不良	神经系统	MGP	AR
D-0472	脑白质营养不良	神经系统	MLC1	AR
D-0472	脑白质营养不良	神经系统	MPV17	AR
D-0472	脑白质营养不良	神经系统	NDUFV2	AR
D-0472	脑白质营养不良	神经系统	NUBPL	AR
D-0472	脑白质营养不良	神经系统	PC	AR
D-0472	脑白质营养不良	神经系统	PHYH	AR
D-0472	脑白质营养不良	神经系统	PLA2G6	AR
D-0472	脑白质营养不良	神经系统	PSAP	AR
D-0472	脑白质营养不良	神经系统	RNASET2	AR
D-0472	脑白质营养不良	神经系统	RPIA	AR
D-0472	脑白质营养不良	神经系统	SCP2	AR
D-0472	脑白质营养不良	神经系统	SDHA	AR
D-0472	脑白质营养不良	神经系统	SDHAF1	AR
D-0472	脑白质营养不良	神经系统	SLC17A5	AR
D-0472	脑白质营养不良	神经系统	SUMF1	AR
D-0472	脑白质营养不良	神经系统	TREM2	AR
D-0472	脑白质营养不良	神经系统	TUFM	AR
D-0472	脑白质营养不良	神经系统	TYMP	AR
D-0472	脑白质营养不良	神经系统	TYROBP	AR
D-0473	原发性常染色体隐性遗传性小头畸形	神经系统	ASPM	AR
D-0473	原发性常染色体隐性遗传性小头畸形	神经系统	CDK5RAP2	AR
D-0473	原发性常染色体隐性遗传性小头畸形	神经系统	CENPJ	AR
D-0473	原发性常染色体隐性遗传性小头畸形	神经系统	CEP152	AR
D-0473	原发性常染色体隐性遗传性小头畸形	神经系统	STIL	AR
D-0473	原发性常染色体隐性遗传性小头畸形	神经系统	WDR62	AR
D-0474	着色性干皮病	神经系统	ERCC2	AR
D-0474	着色性干皮病	神经系统	ERCC3	AR
D-0475	科凯恩综合征	神经系统	ERCC6	AR
D-0475	科凯恩综合征	神经系统	ERCC8	AR
D-0478	神经元蜡样脂褐质沉积症	神经系统	CLN3	AR
D-0478	神经元蜡样脂褐质沉积症	神经系统	CLN5	AR
D-0478	神经元蜡样脂褐质沉积症	神经系统	CLN6	AR
D-0478	神经元蜡样脂褐质沉积症	神经系统	CLN8	AR
D-0478	神经元蜡样脂褐质沉积症	神经系统	CTSD	AR
D-0478	神经元蜡样脂褐质沉积症	神经系统	KCTD7	AR
D-0478	神经元蜡样脂褐质沉积症	神经系统	MFSD8	AR
D-0478	神经元蜡样脂褐质沉积症	神经系统	PPT1	AR
D-0478	神经元蜡样脂褐质沉积症	神经系统	TPP1	AR
D-0479	过氧化物酶体生物合成障碍	神经系统	PEX1	AR
D-0479	过氧化物酶体生物合成障碍	神经系统	PEX10	AR
D-0479	过氧化物酶体生物合成障碍	神经系统	PEX13	AR
D-0479	过氧化物酶体生物合成障碍	神经系统	PEX14	AR
D-0479	过氧化物酶体生物合成障碍	神经系统	PEX16	AR
D-0479	过氧化物酶体生物合成障碍	神经系统	PEX26	AR
D-0479	过氧化物酶体生物合成障碍	神经系统	PEX3	AR
D-0479	过氧化物酶体生物合成障碍	神经系统	PEX5	AR
D-0479	过氧化物酶体生物合成障碍	神经系统	PEX6	AR
D-0479	过氧化物酶体生物合成障碍	神经系统	PEX7	AR
D-0480	线粒体呼吸链缺陷	神经系统	BCS1L	AR
D-0480	线粒体呼吸链缺陷	神经系统	FOXRED1	AR
D-0480	线粒体呼吸链缺陷	神经系统	NDUFA11	AR
D-0480	线粒体呼吸链缺陷	神经系统	NDUFA2	AR
D-0480	线粒体呼吸链缺陷	神经系统	NDUFAF2	AR
D-0480	线粒体呼吸链缺陷	神经系统	NDUFAF3	AR
D-0480	线粒体呼吸链缺陷	神经系统	NDUFAF4	AR
D-0480	线粒体呼吸链缺陷	神经系统	NDUFS1	AR
D-0480	线粒体呼吸链缺陷	神经系统	NDUFS2	AR
D-0480	线粒体呼吸链缺陷	神经系统	NDUFS3	AR
D-0480	线粒体呼吸链缺陷	神经系统	NDUFS4	AR
D-0480	线粒体呼吸链缺陷	神经系统	NDUFS6	AR
D-0480	线粒体呼吸链缺陷	神经系统	NDUFS7	AR
D-0480	线粒体呼吸链缺陷	神经系统	NDUFS8	AR
D-0480	线粒体呼吸链缺陷	神经系统	NDUFV1	AR
D-0480	线粒体呼吸链缺陷	神经系统	SURF1	AR
D-0481	白质消融性白质脑病	神经系统	EIF2B1	AR
D-0481	白质消融性白质脑病	神经系统	EIF2B2	AR
D-0481	白质消融性白质脑病	神经系统	EIF2B3	AR
D-0481	白质消融性白质脑病	神经系统	EIF2B4	AR
D-0481	白质消融性白质脑病	神经系统	EIF2B5	AR
D-0482	AicardiGoutieres综合征	神经系统	RNASEH2A	AR
D-0482	AicardiGoutieres综合征	神经系统	RNASEH2B	AR
D-0482	AicardiGoutieres综合征	神经系统	RNASEH2C	AR
D-0482	AicardiGoutieres综合征	神经系统	SAMHD1	AR
D-0484	早期小儿癫痫性脑病	神经系统	PLCB1	AR
D-0484	早期小儿癫痫性脑病	神经系统	PNKP	AR
D-0484	早期小儿癫痫性脑病	神经系统	SLC25A22	AR
D-0485	强迫症	神经系统	BDNF	AR
D-0485	强迫症	神经系统	DRD4	AR
D-0486	γ-氨基丁酸转移酶缺乏症	神经系统	ABAT	AR
D-0488	脊髓小脑共济失调	神经系统	FXN	AR
D-0488	脊髓小脑共济失调	神经系统	TTPA	AR
D-0490	肌营养不良	神经系统	CAPN3	AR
D-0490	肌营养不良	神经系统	DYSF	AR
D-0490	肌营养不良	神经系统	FKRP	AR
D-0490	肌营养不良	神经系统	FKTN	AR
D-0490	肌营养不良	神经系统	ITGA7	AR
D-0490	肌营养不良	神经系统	LAMA2	AR
D-0490	肌营养不良	神经系统	LARGE	AR
D-0490	肌营养不良	神经系统	POMGNT1	AR
D-0490	肌营养不良	神经系统	POMT1	AR
D-0490	肌营养不良	神经系统	POMT2	AR
D-0490	肌营养不良	神经系统	SEPN1	AR
D-0490	肌营养不良	神经系统	SEPN1	AR
D-0490	肌营养不良	神经系统	SGCA	AR
D-0490	肌营养不良	神经系统	SGCB	AR
D-0490	肌营养不良	神经系统	SGCG	AR
D-0490	肌营养不良	神经系统	TCAP	AR
D-0490	肌营养不良	神经系统	TRIM32	AR
D-0491	腓骨肌萎缩症	神经系统	FGD4	AR
D-0491	腓骨肌萎缩症	神经系统	FIG4	AR
D-0491	腓骨肌萎缩症	神经系统	GDAP1	AR
D-0491	腓骨肌萎缩症	神经系统	HK1	AR
D-0491	腓骨肌萎缩症	神经系统	KARS	AR
D-0491	腓骨肌萎缩症	神经系统	MED25	AR
D-0491	腓骨肌萎缩症	神经系统	MTMR2	AR
D-0491	腓骨肌萎缩症	神经系统	NDRG1	AR
D-0491	腓骨肌萎缩症	神经系统	PRX	AR
D-0491	腓骨肌萎缩症	神经系统	SBF2	AR
D-0492	肌病	神经系统	BIN1	AR
D-0492	肌病	神经系统	CNTN1	AR
D-0492	肌病	神经系统	CPT2	AR
D-0492	肌病	神经系统	GFER	AR
D-0492	肌病	神经系统	ISCU	AR
D-0492	肌病	神经系统	YARS2	AR
D-0493	肌萎缩性侧索硬化症	神经系统	FUS	AR
D-0496	肌无力	神经系统	AGRN	AR
D-0496	肌无力	神经系统	CHAT	AR
D-0496	肌无力	神经系统	CHRNG	AR
D-0496	肌无力	神经系统	DOK7	AR
D-0496	肌无力	神经系统	MUSK	AR
D-0496	肌无力	神经系统	RAPSN	AR
ND-0003	B 细胞缺乏	免疫系统	IGLL1	AR
ND-0003	B 细胞缺乏	免疫系统	CD79B	AR
ND-0003	B 细胞缺乏	免疫系统	BLNK	AR
ND-0003	B 细胞缺乏	内分泌	BLNK	AR
ND-0003	B 细胞缺乏	免疫系统	CD79A	AR
ND-0006	Fraser综合征	肾脏风湿	FRAS1	AR
ND-0006	Fraser综合征	肾脏风湿	FREM2	AR
ND-0008	Joubert综合征（肾囊肿）	肾脏风湿	INPP5E	AR
ND-0008	Joubert综合征（肾囊肿）	肾脏风湿	AHI1	AR
ND-0008	Joubert综合征（肾囊肿）	肾脏风湿	CC2D2A	AR
ND-0008	Joubert综合征（肾囊肿）	肾脏风湿	CEP290	AR
ND-0009	Neuromuscular Diseases Panel	神经	GYG1	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	RAG1	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	CD8A	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	LIG4	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	CD3D	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	NHEJ1	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	ADA	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	PTPRC	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	CD3G	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	IL7R	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	JAK3	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	RAG2	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	CD3E	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	DCLRE1C	AR
ND-0010	SCID 重症联合免疫缺陷	免疫系统	PNP	AR
ND-0011	X-linked adrenoleukodystrophy (X-ALD)	神经	ASAH1	AR
ND-0015	低促基因 尿道下裂基因 隐睾基因	内分泌	INSL3	AR
ND-0015	低促基因 尿道下裂基因 隐睾基因	内分泌	LHX3	AR
ND-0015	低促基因 尿道下裂基因 隐睾基因	内分泌	TBX19	AR
ND-0016	低磷佝偻病	儿保	DMP1	AR
ND-0017	低磷血症性佝偻病Ⅰ型,肾小管和间质和代谢病	肾脏风湿	DMP1	AR
ND-0017	低磷血症性佝偻病伴高钙尿症,肾小管和间质和代谢病	肾脏风湿	SLC34A3	AR
ND-0017	低磷血症性佝偻病伴高钙尿症,肾小管和间质和代谢病	儿保	SLC34A3	AR
ND-0018	低镁症，肾性,肾小管和间质和代谢病	肾脏风湿	CLDN16	AR
ND-0018	低镁症，肾性,肾小管和间质和代谢病	肾脏风湿	EGF	AR
ND-0018	低镁症，肾性,肾小管和间质和代谢病	肾脏风湿	CLDN19	AR
ND-0019	低尿酸血症，肾性,肾小管和间质和代谢病	肾脏风湿	SLC22A12	AR
ND-0020	癫痫相关基因	神经	GAMT	AR
ND-0021	耳聋，常染色体隐性遗传28，609823（3）	筛查	TRIOBP	AR
ND-0022	范可尼贫血，互补群D2型,肾小管和间质和代谢病	肾脏风湿	FANCD2	AR
ND-0022	范可尼贫血，互补群E型,肾小管和间质和代谢病	肾脏风湿	FANCE	AR
ND-0023	肥胖	儿保	PCSK1	AR
ND-0023	肥胖	儿保	FTO	AR
ND-0023	肥胖	儿保	NPC1	AR
ND-0025	枫糖尿病1b型	内分泌	BCKDHB	AR
ND-0028	高免疫球蛋白M症候群(Hyper-IgM syndrome；簡稱HIM syndrome)	免疫系统	AICDA	AR
ND-0028	高免疫球蛋白M症候群(Hyper-IgM syndrome；簡稱HIM syndrome)	免疫系统	UNG	AR
ND-0030	共济失调毛细血管扩张症	免疫系统	MRE11A	AR
ND-0030	共济失调毛细血管扩张症	免疫系统	RAD50	AR
ND-0034	家族性矮小	内分泌	SLC29A3	AR
ND-0034	家族性矮小	内分泌	B3GALTL	AR
ND-0034	家族性矮小	内分泌	GH1	AR
ND-0034	家族性矮小，副甲狀腺功能低下	内分泌	TBCE	AR
ND-0035	甲状腺激素合成障碍	内分泌	DUOXA2	AR
ND-0036	甲狀腺素製造不足 3	内分泌	IYD	AR
ND-0039	卡介苗播散	免疫系统	STAT1	AR
ND-0039	卡介苗播散	免疫系统	SP110	AR
ND-0039	卡介苗播散	免疫系统	IFNGR1	AR
ND-0039	卡介苗播散	免疫系统	IL12B	AR
ND-0041	慢性肉芽肿症（chronicgranulomatous disease,CGD）	免疫系统	CYBA	AR
ND-0041	慢性肉芽肿症（chronicgranulomatous disease,CGD）	免疫系统	NCF2	AR
ND-0041	慢性肉芽肿症（chronicgranulomatous disease,CGD）	免疫系统	NCF1	AR
ND-0041	慢性肉芽肿症（chronicgranulomatous disease,CGD）	免疫系统	TNFRSF13C	AR
ND-0041	慢性肉芽肿症（chronicgranulomatous disease,CGD）	免疫系统	CD19	AR
ND-0041	慢性肉芽肿症（chronicgranulomatous disease,CGD）	免疫系统	ICOS	AR
ND-0042	免疫功能下降-中性球減少症(neutropenia) 	免疫系统	HAX1	AR
ND-0048	肾病型胱氨酸症,肾小管和间质和代谢病	肾脏风湿	CTNS	AR
ND-0054	肾消耗病	肾脏风湿	XPNPEP3	AR
ND-0055	肾小管发育不全,结构异常和囊性肾病	肾脏风湿	ACE	AR
ND-0055	肾小管发育不全,结构异常和囊性肾病/高尿酸血性肾病,肾小管和间质和代谢病	肾脏风湿	REN	AR
ND-0057	肾性葡糖尿症,肾小管和间质和代谢病	肾脏风湿	SLC5A2	AR
ND-0061	先天性高免疫球蛋白E症候群 ( Congenital Hyper?IgE?syndrome )	免疫系统	TYK2	AR
ND-0062	小脑蚓部发育不良	儿保	TMEM216	AR
ND-0062	小脑蚓部发育不良	儿保	AHI1	AR
ND-0062	小脑蚓部发育不良	儿保	CC2D2A	AR
ND-0062	小脑蚓部发育不良	儿保	CEP290	AR
ND-0062	小脑蚓部发育不良	儿保	RPGRIP1L	AR
ND-0064	性早熟	内分泌	FSHR	AR
ND-0066	药物代谢相关基因	药物代谢	DPYD	AR
ND-0070	智力相关-脑发育	儿保	APOE	AR
ND-0070	智力相关-脑发育	儿保	CBS	AR
ND-0072	自免疫疾病	免疫系统	MEFV	AR
ND-0072	自免疫疾病	免疫系统	LPIN2	AR
D-0002	进行性家族性肝内胆汁淤积症	消化系统	ABCB4	CX
D-0012	Usher综合征	代谢及免疫系统	MYO7A	CX
D-0030	高甲硫氨酸血症	代谢及免疫系统	MAT1A	CX
D-0031	高脯胺酸血症	代谢及免疫系统	PRODH	CX
D-0042	3-甲基戊烯二酸尿症	代谢及免疫系统	OPA3	CX
D-0086	斯蒂克勒综合征	代谢及免疫系统	COL11A2	CX
D-0088	Wolfram综合征	代谢及免疫系统	WFS1	CX
D-0114	先天性巨核细胞血小板减少症	血液系统疾病	MPL	CX
D-0123	高脂蛋白血症	心血管系统	LPL	CX
D-0123	高脂蛋白血症	心血管系统	LDLR	CX
D-0126	肾性尿崩症	泌尿生殖系统	AQP2	CX
D-0128	Alport综合征	泌尿生殖系统	COL4A3	CX
D-0131	Bartter综合征	泌尿生殖系统	CASR	CX
D-0142	假性醛固酮减少症	泌尿生殖系统	SCNN1A	CX
D-0142	假性醛固酮减少症	泌尿生殖系统	WNK1	CX
D-0143	Denys-Drash综合症	泌尿生殖系统	WT1	CX
D-0148	胱氨酸尿症	内分泌系统	SLC7A9	CX
D-0158	肾母细胞瘤1型	内分泌系统	WT1	CX
D-0159	糖尿病	内分泌系统	KCNJ11	CX
D-0174	甲状腺机能减退	内分泌系统	TSHR	CX
D-0174	甲状腺机能减退	内分泌系统	THRB	CX
D-0188	莱迪希细胞发育不全及家族性男性性早熟综合征	内分泌系统	LHCGR	CX
D-0195	肺泡表面活性物质代谢障碍	呼吸系统	CSF2RA	CX
D-0198	致死性紧密皮肤挛缩综合征	皮肤系统	LMNA	CX
D-0201	大疱性表皮松解症	皮肤系统	COL7A1	CX
D-0207	外胚层发育不良	皮肤系统	EDAR	CX
D-0207	外胚层发育不良	皮肤系统	EDARADD	CX
D-0208	遗传性耳聋	五官及肿瘤	ESPN	CX
D-0208	遗传性耳聋	五官及肿瘤	GJB2	CX
