Gene/Locus,Gene/Locus_name,Gene/Locus_MIM_number,Phenotype,Phenotype_MIM_number,Inheritance,Comments,Gene
"SPINK1, PSTI, PCTT, TATI, TCP","Serine protease inhibitor, Kazal type I (pancreatic secretory trypsin inhibitor)",167790,"Pancreatitis, hereditary",167800,AD,-,SPINK1
"SPINK1, PSTI, PCTT, TATI, TCP","Serine protease inhibitor, Kazal type I (pancreatic secretory trypsin inhibitor)",167790,Tropical calcific pancreatitis,608189,"AD,AR",-,SPINK1
"SPINK1, PSTI, PCTT, TATI, TCP","Serine protease inhibitor, Kazal type I (pancreatic secretory trypsin inhibitor)",167790,"{Fibrocalculous pancreatic diabetes, susceptibility to}",608189,"AD,AR",-,SPINK1
"SCGB3A2, UGRP1","Secretoglobin, family 3A, member 2 (uteroglobin-related protein 1)",606531,"{Asthma, susceptibility to}",600807,AD,-,SCGB3A2
"SPINK5, LEKTI","Serine protease inhibitor, Kazal type, 5",605010,Netherton syndrome,256500,AR,-,SPINK5
"FBXO38, FBX38, MOKA, HMN2D",F-box only protein 38,608533,"Neuronopathy, distal hereditary motor, type IID",615575,AD,-,FBXO38
ADRB2,"Adrenergic, beta-2-, receptor, surface",109690,"Beta-2-adrenoreceptor agonist, reduced response to",-,-,-,ADRB2
ADRB2,"Adrenergic, beta-2-, receptor, surface",109690,"{Asthma, nocturnal, susceptibility to}",600807,AD,-,ADRB2
ADRB2,"Adrenergic, beta-2-, receptor, surface",109690,"{Obesity, susceptibility to}",601665,"AD,Mu,AR",-,ADRB2
"SH3TC2, KIAA1985, MNMN",SH3 domain and tetratricopeptide repeat domain 2,608206,"Charcot-Marie-Tooth disease, type 4C",601596,AR,-,SH3TC2
"SH3TC2, KIAA1985, MNMN",SH3 domain and tetratricopeptide repeat domain 2,608206,"Mononeuropathy of the median nerve, mild",613353,AD,-,SH3TC2
"PPARGC1B, PGC1B, PERC","Peroxisome proliferator-activated receptor-gamma, coactivator 1, beta",608886,"{Obesity, variation in}",601665,"AD,Mu,AR",-,PPARGC1B
"PDE6A, PDEA, RP43","Phosphodiesterase-6A, cGMP-specific, rod, alpha",180071,Retinitis pigmentosa 43,613810,-,-,PDE6A
"SLC26A2, DTD, DTDST, D5S1708, EDM4","Solute carrier family 26 (sulfate transporter), member 2 (diastrophic dysplasia sulfate transporter)",606718,Achondrogenesis Ib,600972,AR,distal to APC,SLC26A2
"SLC26A2, DTD, DTDST, D5S1708, EDM4","Solute carrier family 26 (sulfate transporter), member 2 (diastrophic dysplasia sulfate transporter)",606718,"Atelosteogenesis, type II",256050,AR,-,SLC26A2
"SLC26A2, DTD, DTDST, D5S1708, EDM4","Solute carrier family 26 (sulfate transporter), member 2 (diastrophic dysplasia sulfate transporter)",606718,De la Chapelle dysplasia,256050,AR,-,SLC26A2
"SLC26A2, DTD, DTDST, D5S1708, EDM4","Solute carrier family 26 (sulfate transporter), member 2 (diastrophic dysplasia sulfate transporter)",606718,Diastrophic dysplasia,222600,AR,-,SLC26A2
"SLC26A2, DTD, DTDST, D5S1708, EDM4","Solute carrier family 26 (sulfate transporter), member 2 (diastrophic dysplasia sulfate transporter)",606718,"Diastrophic dysplasia, broad bone-platyspondylic variant",222600,AR,-,SLC26A2
"SLC26A2, DTD, DTDST, D5S1708, EDM4","Solute carrier family 26 (sulfate transporter), member 2 (diastrophic dysplasia sulfate transporter)",606718,"Epiphyseal dysplasia, multiple, 4",226900,AR,-,SLC26A2
"CSF1R, FMS, HDLS",Colony-stimulating factor-1 receptor; oncogene FMS (McDonough feline sarcoma),164770,"Leukoencephalopathy, diffuse hereditary, with spheroids",221820,AD,FMS2 is 5' end,CSF1R
"PDGFRB, PDGFR, IBGC4, IMF1, PENTT, KOGS","Platelet-derived growth factor receptor, beta polypeptide",173410,"Basal ganglia calcification, idiopathic, 4",615007,AD,"fusion gene with ETV6, HIP1, RABPT5, or H4 in chronic myeloproliferative disorders",PDGFRB
"PDGFRB, PDGFR, IBGC4, IMF1, PENTT, KOGS","Platelet-derived growth factor receptor, beta polypeptide",173410,Kosaki overgrowth syndrome,616592,AD,-,PDGFRB
"PDGFRB, PDGFR, IBGC4, IMF1, PENTT, KOGS","Platelet-derived growth factor receptor, beta polypeptide",173410,Myeloproliferative disorder with eosinophilia,131440,AD,-,PDGFRB
"PDGFRB, PDGFR, IBGC4, IMF1, PENTT, KOGS","Platelet-derived growth factor receptor, beta polypeptide",173410,"Myofibromatosis, infantile, 1",228550,AD,-,PDGFRB
"PDGFRB, PDGFR, IBGC4, IMF1, PENTT, KOGS","Platelet-derived growth factor receptor, beta polypeptide",173410,"Premature aging syndrome, Penttinen type",601812,AD,-,PDGFRB
"CAMK2A, KIAA0968, CAMKA, MRD53",Calcium/calmodulin-dependent protein kinase II-alpha,114078,"Mental retardation, autosomal dominant 53",617798,AD,-,CAMK2A
"TCOF1, MFD1, TCS1",Treacle,606847,Treacher Collins syndrome 1,154500,AD,prox. to SPARC,TCOF1
"RPS14, EMTB",Ribosomal protein S14,130620,"Macrocytic anemia, refractory, due to 5q deletion, somatic",153550,-,-,RPS14
"NDST1, HSST, MRT46",N-deacetylase/N-sulfotransferase (heparan sulfate-N-deacetylase/N-sulfotransferase),600853,"Mental retardation, autosomal recessive 46",616116,AR,-,NDST1
"IRGM, LRG47, IFI1, IBD19","Immunity-related GTPase family, M",608212,{Inflammatory bowel disease (Crohn disease) 19},612278,-,-,IRGM
"IRGM, LRG47, IFI1, IBD19","Immunity-related GTPase family, M",608212,"{Mycobacterium tuberculosis, protection against}",607948,-,-,IRGM
GM2A,GM2 ganglioside activator protein,613109,"GM2-gangliosidosis, AB variant",272750,AR,pseudogene on chr.3,GM2A
"SLC36A2, PAT2","Solute carrier family 36 (proton/amino acid symporter), member 2",608331,Hyperglycinuria,138500,AD,-,SLC36A2
"SLC36A2, PAT2","Solute carrier family 36 (proton/amino acid symporter), member 2",608331,"Iminoglycinuria, digenic",242600,"AR,DR",-,SLC36A2
"FAT2, MEGF1, SCA45","Fat tumor suppressor, Drosophila, homolog of, 2",604269,Spinocerebellar ataxia 45,617769,AD,-,FAT2
"SPARC, ON, OI17","Osteonectin (secreted protein, acidic, cysteine-rich)",182120,"Osteogenesis imperfecta, type XVII",616507,AR,-,SPARC
"GLRA1, STHE, HKPX1","Glycine receptor, alpha-1 polypeptide",138491,"Hyperekplexia, hereditary 1, autosomal dominant or recessive",149400,"AD,AR",-,GLRA1
"SGCD, SGD, LGMD2F, CMD1L","Sarcoglycan, delta (35kD dystrophin-associated glycoprotein)",601411,"Cardiomyopathy, dilated, 1L",606685,-,mutant in Syrian hamster cardiomyopathy,SGCD
"SGCD, SGD, LGMD2F, CMD1L","Sarcoglycan, delta (35kD dystrophin-associated glycoprotein)",601411,"Muscular dystrophy, limb-girdle, type 2F",601287,AR,-,SGCD
"ITK, EMT, LPFS1",T-cell-specific tyrosine kinase; homolog of mouse T-cell itk/tsk tyrosine kinase,186973,Lymphoproliferative syndrome 1,613011,AR,-,ITK
"NIPAL4, ICHYN, ARCI6",NIPA-like domain-containing 4,609383,"Ichthyosis, congenital, autosomal recessive 6",612281,AR,-,NIPAL4
"IL12B, NKSF2, IMD29","Interleukin-12B (natural killer cell stimulatory factor-2, cytotoxic lymphocyte maturation factor-2, p40)",161561,"Immunodeficiency 29, mycobacteriosis",614890,AR,between GLR1 and GABRA1,IL12B
NIDDM4,"Diabetes mellitus, noninsulin-dependent, 4",608036,"{Diabetes mellitus, noninsulin-dependent}",125853,AD,-,NIDDM4
"GABRB2, ICEE2","Gamma-aminobutyric acid (GABA) A receptor, beta-2",600232,"Epileptic encephalopathy, infantile or early childhood, 2",617829,AD,-,GABRB2
"GABRA1, EJM5, ECA4, EIEE19","Gamma-aminobutyric acid (GABA) A receptor, alpha-1",137160,"Epileptic encephalopathy, early infantile, 19",615744,AD,in same 200kb as GABRG2,GABRA1
"GABRA1, EJM5, ECA4, EIEE19","Gamma-aminobutyric acid (GABA) A receptor, alpha-1",137160,"{Epilepsy, childhood absence, susceptibility to, 4}",611136,-,-,GABRA1
"GABRA1, EJM5, ECA4, EIEE19","Gamma-aminobutyric acid (GABA) A receptor, alpha-1",137160,"{Epilepsy, juvenile myoclonic, susceptibility to, 5}",611136,-,-,GABRA1
"GABRG2, GEFSP3, CAE2, ECA2","Gamma-aminobutyric acid (GABA) A receptor, gamma-2",137164,"Epilepsy, generalized, with febrile seizures plus, type 3",611277,AD,in alpha/beta/gamma cluster,GABRG2
"GABRG2, GEFSP3, CAE2, ECA2","Gamma-aminobutyric acid (GABA) A receptor, gamma-2",137164,"Febrile seizures, familial, 8",611277,AD,-,GABRG2
"GABRG2, GEFSP3, CAE2, ECA2","Gamma-aminobutyric acid (GABA) A receptor, gamma-2",137164,"{Epilepsy, childhood absence, susceptibility to, 2}",607681,AD,-,GABRG2
HMMR,Hyaluronan-mediated motility receptor (RHAMM),600936,"{Breast cancer, susceptibility to}",114480,AD,-,HMMR
"WWC1, KIBRA, KIAA0869, MEMRYQTL","WW, C2, and coiled-coil domain-containing 1",610533,"[Memory, enhanced, QTL]",615602,-,-,WWC1
"RARS, HLD9",Arginyl-tRNA synthetase,107820,"Leukodystrophy, hypomyelinating, 9",616140,AR,-,RARS
"DOCK2, IMD40",Dedicator of cytokinesis 2,603122,Immunodeficiency 40,616433,AR,-,DOCK2
"FOXI1, FKHL10, FREAC6",Forkhead box I1,601093,Enlarged vestibular aqueduct,600791,AR,some patients have digenic mutations with SLC26A4,FOXI1
KCNMB1,"Potassium large conductance calcium-activated channel, subfamily M, beta member 1",603951,"{Hypertension, diastolic, resistance to}",608622,AD,-,KCNMB1
NPM1,"Nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin)",164040,"Leukemia, acute myeloid, somatic",601626,-,fused with RARA in APL,NPM1
"SH3PXD2B, TKS4, KIAA1295, FTHS",SH3 and PX domains-containing protein 2B,613293,Frank-ter Haar syndrome,249420,AR,-,SH3PXD2B
"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2",NK2 homeobox-5 gene,600584,"Atrial septal defect 7, with or without AV conduction defects",108900,AD,near border with 5q35,NKX2-5
"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2",NK2 homeobox-5 gene,600584,"Conotruncal heart malformations, variable",217095,-,-,NKX2-5
"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2",NK2 homeobox-5 gene,600584,Hypoplastic left heart syndrome 2,614435,AD,-,NKX2-5
"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2",NK2 homeobox-5 gene,600584,"Hypothyroidism, congenital nongoitrous, 5",225250,AD,-,NKX2-5
"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2",NK2 homeobox-5 gene,600584,Tetralogy of Fallot,187500,AD,-,NKX2-5
"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2",NK2 homeobox-5 gene,600584,Ventricular septal defect 3,614432,AD,-,NKX2-5
"MSX2, CRS2, HOX8","msh, Drosophila, homeo box homolog of, 2",123101,Craniosynostosis 2,604757,AD,-,MSX2
"MSX2, CRS2, HOX8","msh, Drosophila, homeo box homolog of, 2",123101,Parietal foramina 1,168500,AD,-,MSX2
"MSX2, CRS2, HOX8","msh, Drosophila, homeo box homolog of, 2",123101,Parietal foramina with cleidocranial dysplasia,168550,AD,-,MSX2
SNCB,"Synuclein, beta",602569,"Dementia, Lewy body",127750,AD,-,SNCB
"NSD1, ARA267, STO, SOTOS1",Nuclear receptor binding SET domain protein 1,606681,"Leukemia, acute myeloid",601626,AD,fusion gene with NUP98 in AML,NSD1
"NSD1, ARA267, STO, SOTOS1",Nuclear receptor binding SET domain protein 1,606681,Sotos syndrome 1,117550,AD,-,NSD1
"SLC34A1, SLC17A2, NPT2, NPHLOP1, FRTS2, HCINF2","Solute carrier family 34 (sodium phosphate cotransporter), member 1",182309,?Fanconi renotubular syndrome 2,613388,AR,mutation identified in 1 FRTS2 family,SLC34A1
"SLC34A1, SLC17A2, NPT2, NPHLOP1, FRTS2, HCINF2","Solute carrier family 34 (sodium phosphate cotransporter), member 1",182309,"Hypercalcemia, infantile, 2",616963,AR,-,SLC34A1
"SLC34A1, SLC17A2, NPT2, NPHLOP1, FRTS2, HCINF2","Solute carrier family 34 (sodium phosphate cotransporter), member 1",182309,"Nephrolithiasis/osteoporosis, hypophosphatemic, 1",612286,AD,-,SLC34A1
"F12, HAF, HAE3",Coagulation factor XII (Hageman factor),610619,"Angioedema, hereditary, type III",610618,AD,-,F12
"F12, HAF, HAE3",Coagulation factor XII (Hageman factor),610619,Factor XII deficiency,234000,AR,-,F12
"DDX41, ABS, MPLPF",DEAD/H box 41,608170,"{Myeloproliferative/lymphoproliferative neoplasms, familial (multiple types), susceptibility to}",616871,AD,-,DDX41
"B4GALT7, XGALT1, XGPT1, EDSSPD1","Beta-1,4-galactosyltransferase 7",604327,"Ehlers-Danlos syndrome, spondylodysplastic type, 1",130070,AR,-,B4GALT7
"PROP1, CPHD2","Prophet of Pit1, paired-like homeodomain transcription factor",601538,"Pituitary hormone deficiency, combined, 2",262600,AR,-,PROP1
"NOLA2, NHP2, DKCB2","Nucleolar protein family A, member 2",606470,"Dyskeratosis congenita, autosomal recessive 2",613987,AR,-,NOLA2
"PHYKPL, AGXT2L2, PHLU",5-phosphohydroxy-L-lysine phospho-lyase,614683,[?Phosphohydroxylysinuria],615011,-,mutation identified in 1 PHLU patient,PHYKPL
"GRM6, MGLUR6, CSNB1B","Glutamate receptor, metabotropic, 6",604096,"Night blindness, congenital stationary (complete), 1B, autosomal recessive",257270,AR,-,GRM6
"ADAMTS2, NPI, EDSDERMS","A disintegrin-like and metalloproteinase with thrombospondin type 1 motif, 2 (procollagen I N-proteinase)",604539,"Ehlers-Danlos syndrome, dermatosparaxix type",225410,AR,-,ADAMTS2
"SQSTM1, P62, PDB3, FTDALS3, NADGP, DMRV",Sequestosome 1,601530,Frontotemporal dementia and/or amyotrophic lateral sclerosis 3,616437,AD,-,SQSTM1
"SQSTM1, P62, PDB3, FTDALS3, NADGP, DMRV",Sequestosome 1,601530,"Myopathy, distal, with rimmed vacuoles",617158,AD,-,SQSTM1
"SQSTM1, P62, PDB3, FTDALS3, NADGP, DMRV",Sequestosome 1,601530,"Neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset",617145,AR,-,SQSTM1
"SQSTM1, P62, PDB3, FTDALS3, NADGP, DMRV",Sequestosome 1,601530,Paget disease of bone 3,167250,AD,-,SQSTM1
"FLT4, VEGFR3, PCL, LMPH1A",fms-related tyrosine kinase-4 (vascular endothelial growth factor receptor 3),136352,"Hemangioma, capillary infantile, somatic",602089,-,-,FLT4
"FLT4, VEGFR3, PCL, LMPH1A",fms-related tyrosine kinase-4 (vascular endothelial growth factor receptor 3),136352,"Lymphedema, hereditary, IA",153100,AD,-,FLT4
"DEL6pter, C6DELpter",Chromosome 6pter-p24 deletion syndrome,612582,Chromosome 6pter-p24 deletion syndrome,612582,IC,-,DEL6pter
"IRF4, LSIRF, SHEP8",Interferon regulatory factor-4,601900,"[Skin/hair/eye pigmentation, variation in, 8]",611724,-,dysregulated in t(6;14),IRF4
"FOXC1, FKHL7, FREAC3, IRID1, RIEG3, ASGD3","Forkhead, Drosophila, homolog-like 7",601090,"Anterior segment dysgenesis 3, multiple subtypes",601631,AD,-,FOXC1
"FOXC1, FKHL7, FREAC3, IRID1, RIEG3, ASGD3","Forkhead, Drosophila, homolog-like 7",601090,"Axenfeld-Rieger syndrome, type 3",602482,AD,-,FOXC1
"SERPINB6, PI6, PTI, SPI3, DFNB91",Protease inhibitor 6 (placental thrombin inhibitor),173321,"?Deafness, autosomal recessive 91",613453,AR,mutation identified in 1 DFNB91 family,SERPINB6
"NQO2, NMOR2","NAD(P)H dehydrogenase, quinone 2 (NAD(P)H menadione oxidoreductase-1, dioxin-inducible-2)",160998,{?Breast cancer susceptibility},114480,AD,-,NQO2
"TUBB2A, CDCBM5","Tubulin, beta-2A",615101,"Cortical dysplasia, complex, with other brain malformations 5",615763,AD,-,TUBB2A
"TUBB2B, CDCBM7","Tubulin, beta-2B",612850,"Cortical dysplasia, complex, with other brain malformations 7",610031,AD,TUBB2A is 70kb telomeric to TUBB2B,TUBB2B
"LYRM4, ISD11, C6orf149, COXPD19",LYR motif-containing protein 4,613311,?Combined oxidative phosphorylation deficiency 19,615595,AR,mutation identified in 1 family,LYRM4
"FARS2, FARS1, COXPD14, SPG77","Phenylalanyl-tRNA synthetase 2, mitochondrial",611592,Combined oxidative phosphorylation deficiency 14,614946,AR,-,FARS2
"FARS2, FARS1, COXPD14, SPG77","Phenylalanyl-tRNA synthetase 2, mitochondrial",611592,"Spastic paraplegia 77, autosomal recessive",617046,AR,-,FARS2
"F13A1, F13A","Coagulation factor XIII, A polypeptide",134570,Factor XIIIA deficiency,613225,AR,-,F13A1
"F13A1, F13A","Coagulation factor XIII, A polypeptide",134570,"{Myocardial infarction, protection against}",608446,-,-,F13A1
"F13A1, F13A","Coagulation factor XIII, A polypeptide",134570,"{Venous thrombosis, protection against}",188050,AD,-,F13A1
"DSP, KPPS2, PPKS2, DCWHKTA",Desmoplakin,125647,Arrhythmogenic right ventricular dysplasia 8,607450,AD,splice variants result in DP I and DP II,DSP
"DSP, KPPS2, PPKS2, DCWHKTA",Desmoplakin,125647,"Cardiomyopathy, dilated, with woolly hair and keratoderma",605676,AR,-,DSP
"DSP, KPPS2, PPKS2, DCWHKTA",Desmoplakin,125647,"Dilated cardiomyopathy with woolly hair, keratoderma, and tooth agenesis",615821,AD,-,DSP
"DSP, KPPS2, PPKS2, DCWHKTA",Desmoplakin,125647,"Epidermolysis bullosa, lethal acantholytic",609638,AR,-,DSP
"DSP, KPPS2, PPKS2, DCWHKTA",Desmoplakin,125647,Keratosis palmoplantaris striata II,612908,-,-,DSP
"DSP, KPPS2, PPKS2, DCWHKTA",Desmoplakin,125647,Skin fragility-woolly hair syndrome,607655,AR,-,DSP
"TFAP2A, AP2TF, BOFS",Transcription factor AP-2 alpha (activating enhancer-binding protein 2 alpha),107580,Branchiooculofacial syndrome,113620,AD,-,TFAP2A
"GCNT2, Ii, CTRCT13","Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme",600429,Adult i phenotype without cataract,110800,AD,previously assigned to 9q21,GCNT2
"GCNT2, Ii, CTRCT13","Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme",600429,Cataract 13 with adult i phenotype,116700,AR,-,GCNT2
"GCNT2, Ii, CTRCT13","Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme",600429,"[Blood group, Ii]",110800,AD,-,GCNT2
"MAK, RP62",Male germ cell-associated kinase,154235,Retinitis pigmentosa 62,614181,AR,-,MAK
"GCM2, GCMB, HRPT4","Glial cells missing, Drosophila, homolog of, 2",603716,Hyperparathyroidism 4,617343,AD,-,GCM2
"GCM2, GCMB, HRPT4","Glial cells missing, Drosophila, homolog of, 2",603716,"Hypoparathyroidism, familial isolated",146200,AD,-,GCM2
"EDN1, ARCND3, QME, HDLCQ7",Endothelin-1,131240,Auriculocondylar syndrome 3,615706,AR,-,EDN1
"EDN1, ARCND3, QME, HDLCQ7",Endothelin-1,131240,"Question mark ears, isolated",612798,AD,-,EDN1
"EDN1, ARCND3, QME, HDLCQ7",Endothelin-1,131240,{High density lipoprotein cholesterol level QTL 7},-,-,-,EDN1
"TBC1D7, PIG51, TBC7, MGCPH","TBC1 domain family, member 7",612655,"Macrocephaly/megalencephaly syndrome, autosomal recessive",248000,AR,-,TBC1D7
SCZD3,"Schizophrenia susceptibility locus, chromosome 6-related",600511,{Schizophrenia},181500,AD,?same as DTNBP1; cognitive deficit type,SCZD3
"DTNBP1, HPS7",Dystrobrevin-binding protein 1 (dysbindin),607145,Hermansky-Pudlak syndrome 7,614076,AR,-,DTNBP1
"ATXN1, ATX1, SCA1",Ataxin-1,601556,Spinocerebellar ataxia 1,164400,AD,-,ATXN1
"NHLRC1, EPM2A, EPM2B",NHL repeat-containing 1 gene (malin),608072,"Epilepsy, progressive myoclonic 2B (Lafora)",254780,AR,-,NHLRC1
"TPMT, TPMTD",Thiopurine S-methyltransferase,187680,"{Thiopurines, poor metabolism of, 1}",610460,AR,-,TPMT
"DCDC2, RU2, KIAA1154, NPHP19, DFNB66, NSC",Doublecortin domain-containing protein 2,605755,"?Deafness, autosomal recessive 66",610212,AR,mutation identified in 1 DFNB66 family,DCDC2
"DCDC2, RU2, KIAA1154, NPHP19, DFNB66, NSC",Doublecortin domain-containing protein 2,605755,Nephronophthisis 19,616217,AR,-,DCDC2
"DCDC2, RU2, KIAA1154, NPHP19, DFNB66, NSC",Doublecortin domain-containing protein 2,605755,"Sclerosing cholangitis, neonatal",617394,AR,-,DCDC2
"ALDH5A1, SSADH",Succinic semialdehyde dehydrogenase,610045,Succinic semialdehyde dehydrogenase deficiency,271980,AR,-,ALDH5A1
"TDP2, TTRAP",Tyrosyl-DNA phosphodiesterase 2,605764,"Spinocerebellar ataxia, autosomal recessive 23",616949,AR,-,TDP2
"GMNN, MGORS6",Geminin,602842,Meier-Gorlin syndrome 6,616835,AD,-,GMNN
"FAM65B, C6orf32, KIAA0386, PL48, DFNB104","Family with sequence similarity 65, member B",611410,"?Deafness, autosomal recessive 104",616515,AR,mutation identified in 1 DFNB104 family,FAM65B
"SLC17A3, NPT4, UAQTL4, GOUT4","Solute carrier family 17 (sodium phosphate cotransporter), member 3",611034,"[Uric acid concentration, serum, QTL4]",612671,AD,-,SLC17A3
"SLC17A3, NPT4, UAQTL4, GOUT4","Solute carrier family 17 (sodium phosphate cotransporter), member 3",611034,{Gout susceptibility 4},612671,AD,-,SLC17A3
"HFE, HLA-H, HFE1, MVCD7, TFQTL2",Hemochromatosis gene,613609,Hemochromatosis,235200,AR,-,HFE
"HFE, HLA-H, HFE1, MVCD7, TFQTL2",Hemochromatosis gene,613609,[Transferrin serum level QTL2],614193,-,-,HFE
"HFE, HLA-H, HFE1, MVCD7, TFQTL2",Hemochromatosis gene,613609,"{Alzheimer disease, susceptibility to}",104300,AD,-,HFE
"HFE, HLA-H, HFE1, MVCD7, TFQTL2",Hemochromatosis gene,613609,{Microvascular complications of diabetes 7},612635,-,-,HFE
"HFE, HLA-H, HFE1, MVCD7, TFQTL2",Hemochromatosis gene,613609,"{Porphyria cutanea tarda, susceptibility to}",176100,"AD,AR",-,HFE
"HFE, HLA-H, HFE1, MVCD7, TFQTL2",Hemochromatosis gene,613609,"{Porphyria variegata, susceptibility to}",176200,AD,-,HFE
"HIST1H1E, H1F4, RMNS","Histone 1, H1e",142220,Rahman syndrome,617537,AD,-,HIST1H1E
"OR2J3, C3HEXS","Olfactory receptor, family 2, subfamily J, member 3",615016,"[C3HEX, ability to smell]",615082,AD,-,OR2J3
"MOG, NRCLP7",Myelin-oligodendrocyte glycoprotein,159465,?Narcolepsy 7,614250,AD,60kb telomeric to HLA-F; mutation identified in 1 NRCLP7 family,MOG
"ZFP57, TNDM1","Zinc finger protein 57, mouse, homolog of",612192,"Diabetes mellitus, transient neonatal, 1",601410,-,-,ZFP57
HLA-G,"HLA-G histocompatibility antigen, class I",142871,"{Asthma, susceptibility to}",600807,AD,-,HLA-G
HLA-A,"Major histocompatibility complex, class I, A",142800,"{Hypersensitivity syndrome, carbamazepine-induced, susceptibility to}",608579,-,-,HLA-A
"TUBB, TUBB5, M40, CDCBM6, CSCSC1","Tubulin, beta polypeptide",191130,"Cortical dysplasia, complex, with other brain malformations 6",615771,AD,-,TUBB
"TUBB, TUBB5, M40, CDCBM6, CSCSC1","Tubulin, beta polypeptide",191130,"Symmetric circumferential skin creases, congenital, 1",156610,AD,-,TUBB
"VARS2, KIAA1885, COXPD20",Valyl-tRNA synthetase 2,612802,Combined oxidative phosphorylation deficiency 20,615917,AR,-,VARS2
"CDSN, HTSS1, HYPT2, PSS1",Corneodesmosin,602593,Hypotrichosis 2,146520,AD,-,CDSN
"CDSN, HTSS1, HYPT2, PSS1",Corneodesmosin,602593,Peeling skin syndrome 1,270300,AR,-,CDSN
"HLA-C, PSORS1","Major histocompatibility complex, class I, C",142840,"{HIV-1 viremia, susceptibility to}",609423,-,-,HLA-C
"HLA-C, PSORS1","Major histocompatibility complex, class I, C",142840,{Psoriasis susceptibility 1},177900,Mu,-,HLA-C
"HLA-B, SPDA1","Major histocompatibility complex, class I, B",142830,"{Abacavir hypersensitivity, susceptibility to}",-,-,-,HLA-B
"HLA-B, SPDA1","Major histocompatibility complex, class I, B",142830,{Drug-induced liver injury due to flucloxacillin},-,-,-,HLA-B
"HLA-B, SPDA1","Major histocompatibility complex, class I, B",142830,"{Spondyloarthropathy, susceptibility to, 1}",106300,Mu,-,HLA-B
"HLA-B, SPDA1","Major histocompatibility complex, class I, B",142830,"{Stevens-Johnson syndrome, susceptibility to}",608579,-,-,HLA-B
"HLA-B, SPDA1","Major histocompatibility complex, class I, B",142830,"{Synovitis, chronic, susceptibility to}",-,-,-,HLA-B
"HLA-B, SPDA1","Major histocompatibility complex, class I, B",142830,"{Toxic epidermal necrolysis, susceptibility to}",608579,-,-,HLA-B
NFKBIL1,Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1,601022,"{Rheumatoid arthritis, susceptibility to}",180300,-,-,NFKBIL1
"LTA, TNFB",Lymphotoxin alpha (formerly tumor necrosis factor beta),153440,"{Leprosy, susceptibility to, 4}",610988,-,cen-DR-21OH-C4-BF-C2-TNF-LTA-HLA-B,LTA
"LTA, TNFB",Lymphotoxin alpha (formerly tumor necrosis factor beta),153440,"{Myocardial infarction, susceptibility to}",608446,-,-,LTA
"LTA, TNFB",Lymphotoxin alpha (formerly tumor necrosis factor beta),153440,"{Psoriatic arthritis, susceptibility to}",607507,-,-,LTA
"TNF, TNFA",Tumor necrosis factor (cachectin),191160,"{Asthma, susceptibility to}",600807,AD,5'-LTA--TNF-3' in 7kb segment (pter-cen); 210kb from HLA-B,TNF
"TNF, TNFA",Tumor necrosis factor (cachectin),191160,"{Dementia, vascular, susceptibility to}",-,-,-,TNF
"TNF, TNFA",Tumor necrosis factor (cachectin),191160,"{Malaria, cerebral, susceptibility to}",611162,-,-,TNF
"TNF, TNFA",Tumor necrosis factor (cachectin),191160,"{Migraine without aura, susceptibility to}",157300,AD,-,TNF
"TNF, TNFA",Tumor necrosis factor (cachectin),191160,"{Septic shock, susceptibility to}",-,-,-,TNF
"NCR3, 1C7, NKP30, CD337, MALS",Natural cytotoxicity triggering receptor 3,611550,"{Malaria, mild, susceptibility to}",609148,-,-,NCR3
"G6B, C6orf25, THAMY",G6B protein,606520,"?Thrombocytopenia, anemia, and myelofibrosis",617441,AR,mutation identified in 1 THAMY family,G6B
"MSH5, POF13","MutS, E. coli, homolog of, 5",603382,?Premature ovarian failure 13,617442,AR,mutation identified in POF13 family,MSH5
"VARS, VARS1, G7A, VARS2, NDMSCA",Valyl-tRNA synthetase,192150,"Neurodevelopmental disorder with microcephaly, seizures, and cortical atrophy",617802,AR,-,VARS
"NEU1, NEU, SIAL1",Neuraminidase 1 (lysosomal sialidase; sialidase 1),608272,"Sialidosis, type I",256550,AR,-,NEU1
"NEU1, NEU, SIAL1",Neuraminidase 1 (lysosomal sialidase; sialidase 1),608272,"Sialidosis, type II",256550,AR,-,NEU1
"SLC44A4, CTL4, C6orf29, DFNA72","Solute carrier family 44, member 4",606107,"?Deafness, autosomal dominant 72",617606,AD,mutation identified in 1 DFNA72 family,SLC44A4
"C2, ARMD14",Complement component-2,613927,C2 deficiency,217000,AR,no crossover with BF,C2
"C2, ARMD14",Complement component-2,613927,"{Macular degeneration, age-related, 14, reduced risk of}",615489,-,-,C2
