Disease_name,疾病名称（中文）,OMIM_id,Disease_name,OMIM英文名,OMIM中文名,Phenotype,遗传模式,incomplete penetrance,没有
Acrocallosal syndrome,Joubert综合征12型,200990,Joubert Syndrome 12,,,大头畸形，枕骨突出，眼距过宽，额头倾斜，轴后多指畸形，三指节拇指，丹迪·沃克畸形，胼胝体发育缺陷/发育不全，重度智力残疾,AD，AR,,
Aarskog-Scott syndrome,阿-斯综合征,100050;305400,Aarskog-Scott syndrome,,,腹股沟疝，隐睾，披肩状阴囊，下唇唇红外翻，眼距过宽，宽前额，长人中，低位后旋转耳，宽鼻梁，鼻孔前翻，下斜睑裂，上睑下垂，弹力过度性皮肤，Ehlers-Danlos综合征，全身弹力纤维发育异常症，宽掌，脐疝，脚变宽，短脚，小手指屈指畸形，短掌，身材矮小，关节过度屈曲，手并指，外耳畸形，前发际高，手指弯曲，认知障碍，小手,,,
Nail-patella syndrome,甲-髌综合征,161200,Nail-patella syndrome,,,蛋白尿，肾病综合征，指甲异常，关节脱位，关节肿胀，关节僵硬，反甲，趾甲发育不良，甲纵嵴，骨骼发育不良，关节炎，下肢异常，上肢异常，肘外翻，髌骨脱位，关节过度屈曲，髌骨发育不全或发育低下，肩胛骨外侧缘增厚，趾甲异常，髂骨角，肘部异常，趾甲发育缺陷/不全，外生骨疣,AD,,
Isovaleric acidemia,异戊酸血症,243500,Isovaleric acidemia,,,高甘氨酸尿症，白细胞减少症，小脑出血，血小板减少,,,
Smith-Magenis syndrome,Smith-Magenis综合征,182290,Smith-Magenis syndrome,,,张口，短头畸形，下颌前突畸形，眼距过宽，人中短，宽前额，小下颌畸形，慢性化脓性中耳炎，传导性听力障碍，宽鼻梁，鼻孔前翻，小角膜，斜视，眼睛深陷，近视，睑裂上斜，一字眉，牙髓腔增大，乳牙萌出延迟，刻板行为，焦虑，语言发育迟缓，短指畸形综合征，智力残疾，肌张力减退，全面发育迟缓，腱反射减弱，步态不稳，肥胖，未能在婴儿期茁壮成长，胎动减少，声音嘶哑，扁平足，脚趾并指畸形，前额突出，便秘，胃食管反流，巨脑室，高甘油三酯血症，神经语言障碍，脑电图异常，睡眠障碍，心脏和大血管畸形，脊柱侧弯，高胆固醇血症，短鼻，椎体形态异常，小手指屈指畸形，身材矮小，鼻梁凹陷，气管支气管系统异常，皮质脊髓束发育不全，注意力缺陷多动障碍，痛觉障碍，胼胝体发育缺陷/发育不全，婴儿期喂养困难，周围神经病，听觉过敏，帐篷状上唇，面中部后缩，自伤行为，大脸,,,
Retinitis pigmentosa-intellectual disability-deafness-hypogenitalism syndrome,,268020,,,,隐睾，面容粗糙，感音神经性耳聋，视觉障碍，白内障，眼球震颤，男性乳房发育，促性腺激素分泌亢进，高胰岛素血症，继发性闭经，黑棘皮病，干性皮肤，短指畸形综合征，智力残疾，肥胖，脚变宽，短指（趾）畸形，骨骼成熟延迟，身材矮小，2型糖尿病，视网膜色素沉着异常，小睾丸，瘢痕疙瘩,AR,,
Hereditary persistence of alpha-fetoprotein,,615970,,,,高甲胎蛋白水平,,,
Alpha-Fetoprotein Deficiency,甲胎蛋白缺乏症,615969,,Alpha-Fetoprotein Deficiency,甲胎蛋白缺乏症,甲胎蛋白水平降低,,,
Cleidocranial dysplasia,锁骨颅骨发育不良,119600;216330,,Cleidocranial dysplasia,锁骨颅骨发育不良,牙齿异常，大囟门，鼻窦炎，下颌前突畸形，眼距过宽，额头倾斜，小下颌畸形，听力异常，听力障碍，慢性化脓性中耳炎，龋齿，牙釉质异常，牙齿萌出延迟，肋骨异常，胸窄，短锁骨，骨质疏松，短指畸形综合征，掌骨异常，前额突出，反复呼吸道感染，缝间骨，骨骼发育不良，腭高而窄，隐性脊柱裂，身材矮小，头骨骨化减少，骶骨异常，鼻梁凹陷，下髂骨发育低下，颧骨发育不全，下巴浅凹，开牙合畸形，牙齿数量增加，短脸，面中部后缩，肩膀下斜,AD,,
Thrombocytopenia 2,血小板减少症2型,188000;273900;612004,,Thrombocytopenia 2,血小板减少症2型,瘀斑易感性，血小板减少，出血异常，AR形遗传，骨骼系统异常,AD，AR,,
Cohen syndrome,,216550,Cohen syndrome,,,牙齿异常，张口，牙龈增生，小头畸形，前发际低，人中短，上颌骨发育不全，小下颌畸形，鼻梁突出，眼睑异常，下斜睑裂，睫毛异常，长睫毛，近视，粗眉毛，青春期延迟，皮肤着色异常，脉络膜视网膜营养不良，细长指(趾)，锥形手指，智力残疾，肌张力减退，全面发育迟缓，胎儿宫内发育迟缓，肥胖，未能在婴儿期茁壮成长，胎动减少，巨牙，哭声微弱，趾指畸形，中性粒细胞减少，神经语言障碍，腭高而窄，膝外翻，肘外翻，小手指屈指畸形，手掌狭窄，身材矮小，关节过度屈曲，手并指，婴儿期喂养困难，牙齿数量减少，舌头发育不全／低下，颧骨发育不全，修长的脚趾，厚发，猫叫,AR,,
"Scaphocephaly, Maxillary Retrusion, And Mental Retardation",舟状头、上颌后退伴精神迟滞,609579,,"Scaphocephaly, Maxillary Retrusion, And Mental Retardation",舟状头、上颌后退伴精神迟滞,高腭，大头畸形，长头畸形，眼距过宽，额头高，轻度智力残疾，开牙合畸形，面中部后缩,,,
Cooper-Jabs syndrome,,209770,,,,短头畸形，平颧骨，低位后旋转耳，中耳异常，传导性听力障碍，外耳道闭锁，鼻孔前翻，斜视，肋骨异常，先天性膈疝，肋骨缺少，智力残疾，肌张力减退，脐疝，肛门前置，室间隔缺损，前额突出，呼吸功能不全，脊柱侧弯，髋骨异常，身材矮小，骨密度降低，关节过度屈曲，皮纹异常，拇指近置，手指弯曲,,,
Generalized basaloid follicular hamartoma syndrome,,605827,,,,错构瘤，掌点凹，丘疹，头发稀少，少汗症,AD,,
North American Indian Childhood Cirrhosis,北美印第安儿童肝硬化,604901,,North American Indian Childhood Cirrhosis,北美印第安儿童肝硬化,新生儿黄疸期延长，门脉高压症，胆汁性肝硬化,AR ,,
Familial Candidiasis 4,家族性念珠菌病4型,114580;247650;252250;607644;613108;613953;613956;615527;616445,,Familial Candidiasis 4,家族性念珠菌病4型,阴道异常，嘴部异常，唇异常，皮肤异常，角化过度，皮疹，指甲异常，指（趾）甲异常，宽甲，免疫系统异常，反复感染，趾甲异常，红斑，性交疼痛，唇炎，丘疹，皮肤溃疡,AD，AR,,
GLUT1 Deficiency Syndrome With Pseudohyperkalemia And Hemolysis,葡萄糖转运蛋白1缺陷综合征伴假性高钾血症和溶血,608885,,GLUT1 Deficiency Syndrome With Pseudohyperkalemia And Hemolysis,葡萄糖转运蛋白1缺陷综合征伴假性高钾血症和溶血,身材矮小，反射亢进，脾肿大，小头畸形，肌张力增高，全面发育迟缓，眼球震颤，肝脏肿大，溶血性贫血，智力残疾，白内障，癫痫发作，脑脊液糖减低，黄疸,,,
Mitochondrial DNA depletion syndrome 10,线粒体DNA缺失综合征10型,212350;615418,,Mitochondrial DNA depletion syndrome 10,线粒体DNA缺失综合征10型,斜视，白内障，近视，眼球震颤，肥厚性心肌病，乳酸酸中毒，肌病,AR,,
Sudden Infant Death With Dysgenesis Of The Testes Syndrome,伴睾丸发育不全的婴儿猝死综合征,608800,,Sudden Infant Death With Dysgenesis Of The Testes Syndrome,伴睾丸发育不全的婴儿猝死综合征,隐睾，阴囊发育不良，外阴性别不明，眼肌麻痹，腱反射减弱，肌阵挛，生长延迟，婴幼儿死亡，声音异常，心脏骤停，胃食管反流，低体温，自主神经功能失调，呼吸模式异常，阴茎发育不良，睡眠呼吸暂停，心律失常,AR,,
Cortisone Reductase Deficiency 1,可的松还原酶缺乏症1型,604931;614662,,Cortisone Reductase Deficiency 1,可的松还原酶缺乏症1型,女性多毛症，不孕不育，肥胖，青春痘，月经稀少症，阴毛早生，黑棘皮病，肥胖，胰岛素抵抗，骨骼成熟加速,AD，AR,,
Enterokinase Deficiency,肠激酶缺乏症,226200,,Enterokinase Deficiency,肠激酶缺乏症,腹泻，未能茁壮成长，低蛋白性水肿，低蛋白血症,AR,,
Cholestasis-lymphedema syndrome,,214900,,,,黄疸，皮肤着色异常，淋巴水肿，多发性脂肪瘤，胆道异常，脾肿大，恶心和呕吐，腹痛，肝脏肿大，高脂血症，尿的内平衡异常，新生儿胆汁淤积性肝病，无胆色大便，疲倦，淋巴系统异常,AR,,
Hypermethioninemia,高蛋氨酸血症,250850,,Hypermethioninemia,高蛋氨酸血症,高甲硫胺酸血症，反射亢进，肌张力障碍，智力残疾，中枢神经系统脱髓鞘，外周髓鞘脱失,AD，AR,,
Aminoglycoside-Induced Deafness,氨基糖苷类药物诱导性耳聋,580000,,Aminoglycoside-Induced Deafness,氨基糖苷类药物诱导性耳聋,氨基糖甙类抗生素引起的听力损失,,,
Seborrhea-Like Dermatitis With Psoriasiform Elements,类脂溢性皮炎伴牛皮鲜,610227,,Seborrhea-Like Dermatitis With Psoriasiform Elements,类脂溢性皮炎伴牛皮鲜,脂溢性皮炎，角化过度,AD,,
Arthrogryposis due to muscular dystrophy,,253900,,,,肌张力减退，关节僵硬，畸形足，肌强直，肌病，髋骨异常，肌电图异常，先天性肌性斜颈,AR,,
Axial spondylometaphyseal dysplasia,,602271,,,,视觉障碍，视网膜色素变性，视神经萎缩，杯状肋骨，扁平椎骨，干骺端异常，前额突出，骨骼成熟延迟，股骨近端干骺端不规则，髂嵴不规则，身材矮小，胸廓发育低下，肢体短缩,AR,,
Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome,,607543,,,,身材矮小，脊柱前凸过度，特殊面容，扁平椎骨，眼距过宽，前额突出,,,
Distal Arthrogryposis type 5,远端关节挛缩5型,108145,,Distal Arthrogryposis type 5,远端关节挛缩5型,腹股沟疝，三角脸，巨耳畸形，眼睛深陷，视觉障碍，上睑下垂，视网膜电流图异常，眼肌麻痹，视神经萎缩，漏斗胸，细长指(趾)，关节僵硬，双侧马蹄内翻足，手指偏离，先天性手指屈曲挛缩，手掌折痕缺如，下巴浅凹,AD,,
"Spondylometaphyseal dysplasia, A4 type",,609052,,,,扁平椎骨，脊椎干骺端发育不良，髋内翻，短肢，严重的身材矮小，短掌,,,
"Adrenal Insufficiency, Congenital, with 46XY Sex Reversal, Partial or Complete",先天性肾上腺功能减退伴性别反转,613743,,"Adrenal Insufficiency, Congenital, with 46XY Sex Reversal, Partial or Complete",先天性肾上腺功能减退伴性别反转,"隐睾，外阴性别不明，男性，男性假两性畸形，肾源性盐流失，生育能力下降，子宫未发育，男性乳房发育，青春期延迟，肾上腺发育不全，骨骼成熟延迟，血肾素水平升高，原发性肾上腺功能不全，骨质疏松，胎儿产前发育或出生异常，胼胝体发育不全，未能茁壮成长，早产，酸中毒，脱水，新生儿低血糖，呕吐，高钾血症，低血压，低钠血症，血醛固酮水平降低，胆固醇代谢异常，血促肾上腺皮质激素（ACTH)水平增加，高钠尿症，骨密度降低，泛发性色素沉着，弥漫性青铜色色素沉着，孕妇血清雌三醇降低，血皮质醇水平降低，第二性征缺乏，卵泡刺激素水平升高，染色体核型为46,XY个体表现为女性外生殖器，小睾丸，睾丸间质细胞异常，血容量不足，促肾上腺皮质激素过多，喂养困难，黄体生成素水平升高，性别决定异常，性反转，尿钾浓度异常，循环雄激素水平降低，诱导式阴道分娩，泌尿生殖窦异常",,,
Diamond-Blackfan Anemia 1,Diamond-Blackfan贫血1型,105650;300946;606129;606164;610629;612527;612528;612561;612562;612563;613308;613309;614900;615550;615909,,Diamond-Blackfan Anemia 1,Diamond-Blackfan贫血1型,生殖系统异常，泌尿系统异常，腭裂，青春期延迟，苍白圈，手的异常，生长延迟，贫血，大细胞性贫血，偏头痛，心律失常，疲倦,AD,,
"46,XY gonadal dysgenesis - motor and sensory neuropathy","46,XY性腺发育不全感觉神经症",607080,,"46,XY gonadal dysgenesis - motor and sensory neuropathy","46,XY性腺发育不全感觉神经症",子宫发育不良，男性性腺功能低下，女性外生殖器异常，性腺发育不全，阴道异常，原发性闭经，不孕不育，促性腺激素增多，多发性神经病，腱反射减低，远端肌无力，外周髓鞘形成障碍，周围神经传导异常，肌萎缩，感觉性共济失调性神经病，远端各种感觉缺失，感觉运动神经病，血清雌二醇水平降低，睾丸发育不全，男性性腺发育不全，女性外表，条索状卵巢，血清睾酮水平降低，周围神经异常,,,
Combined Oxidative Phosphorylation Deficiency 3,复合型氧化磷酸化缺陷症3型,610505,,Combined Oxidative Phosphorylation Deficiency 3,复合型氧化磷酸化缺陷症3型,肌张力障碍，认知障碍，扩张型心肌病，视神经萎缩，共济失调，震颤，呼吸衰竭，肝脏肿大，胎儿宫内发育迟缓，视觉障碍，全面发育迟缓，视神经病变，线粒体复合物活性下降，心血管系统的异常，神经系统的异常，死亡/衰老，胎儿发育或出生异常，消化系统的异常，临床调节因素肌肉组织的异常，代谢/内稳态异常,,,
H syndrome,H综合征,602782,,,Histiocytosis-Lymphadenopathy Plus Syndrome,听力障碍，青春期延迟，皮肤色素沉着，多毛症，肝脾肿大，淋巴结肿大，身材矮小，小睾丸，先天性手指弯曲，皮肤僵硬，硬皮病，组织细胞增多症,AR,,
Caffey disease,婴儿骨皮质增生症,114000,Caffey disease,,,行为异常，发热，骨皮质不规则，长管状骨骨膜增厚，蜂窝织炎，感觉过敏,AD,,
Native American myopathy,美国本土肌病,255995,Native American myopathy,,,内眦距过宽，隐睾，身材矮小，肌无力，恶性高热，智力残疾，眼睑裂狭小，屈曲挛缩，短睑裂，喂养困难，小下颌畸形，嘴部异常，腱反射减弱，低位耳，下斜睑裂，高腭，畸形足，肌萎缩，脊柱侧弯，限制性呼吸功能不全，巨脑室,AR,,
Bloom syndrome,Bloom综合征,210900,Bloom syndrome,,,鼻窦炎，长头畸形，脸部异常，平颧骨，脸狭窄，鼻异常，皮肤异常，光感性皮肤，胎儿宫内发育迟缓，高音调的声音，腹泻，反复呼吸道感染，肿瘤，骨骼成熟延迟，短鼻，染色体稳定性异常，身材矮小，点滴状色素沉着，面部毛细血管蝶状扩张，出生后生长迟缓，颧骨发育不全，红斑，皮肤毛细血管扩张症,AR,,
Argininemia,精氨酸酶缺乏症,207800,Argininemia,,,行为异常，癫痫发作，全面发育迟缓，高氨血症，神经语言障碍，脑电图异常，进行性痉挛性四肢瘫，偏瘫/轻偏瘫，双氨基酸尿，重度智力残疾,AR,,
Spondyloepimetaphyseal dysplasia-hypotrichosis syndrome,,183849,,,,肢体短缩，锁骨内侧加宽，膝内翻，骨骺骨化延迟，喇叭状髂骨翼，髋内翻，髋关节外展减小，短股骨，椎体前缘增高，股外侧弯曲,AD,,
"Aniridia, Cerebellar Ataxia, And Mental Retardation",无虹膜、小脑共济失调及智力低下,206700,,"Aniridia, Cerebellar Ataxia, And Mental Retardation",无虹膜、小脑共济失调及智力低下,面具般面容，无虹膜，智力残疾，共济失调，肌张力减退，全面发育迟缓，神经语言障碍，断续言语，运动异常,AR,,
"Spondyloepimetaphyseal dysplasia, Bieganski type",,300232,,,,进行性智力残疾，短颈，脊椎干骺端发育不良，X连锁隐性遗传，身材矮小，视盘苍白，杯状肋骨前端，平颧骨，胫骨远端干骺端的类PEG样中央突出，前发际低，缝间骨，肋骨变薄，低位耳，宽鼻尖，扁平椎骨，粗眉毛，胸骨突出，胸椎后凸，屈曲挛缩，齿状突发育低下，喇叭状髂骨翼，癫痫发作，眼距过宽，干骺端增宽，锥形股骨头骨骺，扁平骨骺，髋内翻，鼻梁凹陷，面容粗糙，短股骨，骨骼成熟延迟，胼胝体发育不良，高腭，中枢神经系统的髓鞘化延迟,XR,,
Spondyloepimetaphyseal dysplasia-abnormal dentition syndrome,,601668,,,,蓝巩膜，成比例身材矮小，椎体终板不规则，神经系统异常，髂骨翼狭窄，扁平椎骨，切牙间隙过宽，少牙畸形，脊椎干骺端发育不良，膝外翻，圆锥形下颌切牙，侧切牙变色，小指关节挛缩，皮肤异常,AR,,
Arrhinia-choanal atresia-microphthalmia syndrome,,603457,,,,腹股沟疝，低促性腺素性功能减退症，腭裂，高腭，眼距过宽，鼻后孔闭锁，小眼畸形，流泪异常，嗅觉异常，牙齿数量减少，鼻子发育不全／低下，面中部后缩,,,
Digitotalar dysmorphism,Digitotalar 畸形,616266;108120;126050;614335,,"Congenital Contractures Of The Limbs And Face, Hypotonia, And Developmental delay",先天性肢体面部挛缩、张力低下及发育迟缓,拇指内收，关节僵硬，畸形足，手指尺侧偏斜，指交叠，手指弯曲,AD,,
"Spondyloepimetaphyseal dysplasia, Geneviève type",Genevieve型脊椎干骺端发育不全,610442,"Spondyloepimetaphyseal dysplasia, Geneviève type",,,肌张力减退，脊椎干骺端发育不良，后路扇形椎体，短颈，小头畸形，眼球震颤，女性多毛症，皮肤异常，腓骨长，短头畸形，共济失调，一字眉，后发际低，面容粗糙，AR形遗传，前发际低，短股骨，椎体终板不规则，厚下唇，扁平髋臼顶，耳廓异常，宽鼻，智力残疾，髂骨翼狭窄，内眦赘皮，腕骨骨发育低下，扁平椎骨,,,
Neurogenic arthrogryposis multiplex congenita,,208100,,,,关节僵硬，羊水过少，胃溃疡，颅骨形态异常，下肢异常，上肢异常，短肢，肩部异常，肌萎缩，髋骨异常，桡骨发育不全或发育低下，母体糖尿病，皮肤酒窝征，肠闭锁，肠系膜异常，手指弯曲,AR,,
Congenital neuronal ceroid lipofuscinosis,先天性神经元蜡样脂质褐素沉积病,610127,,Neuronal Ceroid-Lipofuscinoses 10,神经元蜡样脂质褐素沉积病10型,小头畸形，癫痫发作，婴幼儿死亡，呼吸功能不全,AR,,
Late infantile neuronal ceroid lipofuscinosis,晚期婴儿型神经元蜡样脂褐质沉积症,256731;600143;601780;610127;610951;204500;256730,,Neuronal Ceroid-Lipofuscinoses 5,神经元蜡样脂质褐素沉积病5型,眼部异常，视网膜病变，视力异常，视网膜电流图异常，视觉诱发电位异常，癫痫发作，共济失调，肌阵挛，脑萎缩，脑电图异常，发育倒退，腹壁肌无力,,,
Sheldon-Hall syndrome,远端关节挛缩2B型,616266;601680,Sheldon-Hall syndrome,,,高腭，脸狭窄，小下颌畸形，招风耳，宽鼻梁，颈蹼，短颈，拇指内收，关节僵硬，脊柱侧弯，手腕向尺侧偏斜，髋骨异常，椎体分节缺陷，身材矮小，桡骨发育不全或发育低下，双侧单掌横折痕，跗骨骨性连合，手指尺侧偏斜，指交叠，圆耳,AD,,
"Spondylometaphyseal dysplasia, Golden type",,313420,,,,扁平椎骨，神经语言障碍，关节膨大，鼻孔前翻，胸腰脊柱侧弯，驼背，鼻梁凹陷，鸡胸，面容粗糙，指（趾）甲异常，指关节伸展过度，眼距过宽，锥形手指，轻度智力残疾，斜视，宽鼻梁，颅底硬化，膝关节屈曲挛缩，眼球震颤，呼吸衰竭，脊椎干骺端发育不良，严重的身材矮小,XL,,
Postaxial acrofacial dysostosis,Miller综合征,263750,Miller syndrome,,,腭裂，平颧骨，小下颌畸形，低位后旋转耳，中耳异常，杯状耳，传导性听力障碍，下斜睑裂，眼睑裂，多乳头，心脏和大血管畸形，桡骨发育低下，尺骨发育低下，手并指，皮纹异常，下眼睑外翻，小耳畸形，非中线唇裂，手指弯曲,AR,,
XY type gonadal dysgenesis-associated anomalies syndrome,,233430,,,,输尿管异常，性腺发育不全，多囊卵巢，腭裂，内眦赘皮，人中异常，低位后旋转耳，外耳道闭锁，下斜睑裂，短指畸形综合征，巨手，轻度智力残疾，脐疝，室间隔缺损，鼻小柱短小，骨骼成熟延迟，身材矮小，双侧顶骨部收窄，耳前凹陷，双侧单掌横折痕，小耳畸形，肾发育低下/不全，毛发分布异常，拇指变宽，轻度全面发育延迟，非中线唇裂,AR,,
Dyskeratosis congenita,常染色体显性先天性角化不良3型,127550;224230;305000;613987;613988;613989;613990;615190;616353,Dyskeratosis congenita,,,女性内生殖器异常，牙齿异常，咽部异常，缺牙症，龋齿，牙髓腔增大，牙周炎，多汗症，色素沉着斑，皮肤色素减退斑，指甲异常，全面发育迟缓，胎儿宫内发育迟缓，血小板减少，中性粒细胞异常，贫血，凝血异常，吸收不良，反复呼吸道感染，气管食管瘘，肿瘤，口腔白斑，复发性骨折，身材矮小，细胞免疫缺陷，骨髓细胞过少，皮肤发育缺陷/不全，皮肤的异常起疱，毛发稀疏，甲营养不良，尿道狭窄，食管狭窄，趾甲发育缺陷/不全，肛肠异常，斑疹，皮肤毛细血管扩张症，粗糙的骨小梁，皮肤溃疡,AD，AR,,
Familial dysautonomia,家族性自主神经功能失调(遗传性感觉和自主神经病3型),223900,Familial dysautonomia,,,无泪，瞳孔异常，行为异常，高血压，少汗症，多汗症，共济失调，肌张力减退，腱反射减弱，体位性低血压，步态不稳，生长延迟，恶性高热，反复呼吸道感染，脊柱侧弯，肌电图异常，痛觉障碍，婴儿期喂养困难，周围神经病，角膜糜烂,AR,,
Dubowitz syndrome,,223370,,,,隐睾，尿道下裂，女性外生殖器异常，黏膜下硬裂腭，小头畸形，前囟增宽，颅缝闭合延迟，脸狭窄，内眦赘皮，前发际低，眼距过宽，额头倾斜，小下颌畸形，听力障碍，低位后旋转耳，招风耳，内眦距过宽，上睑下垂，眼睑裂狭小，湿疹，智力残疾，胎儿宫内发育迟缓，短脚，趾指畸形，呼吸功能不全，脱发，绒毛，反复感染，骨骼成熟延迟，小手指屈指畸形，身材矮小，鼻梁凹陷，眉尖稀疏，注意力缺陷多动障碍，出生后生长迟缓，拇指发育不全或发育低下，拇指指骨异常，对耳轮异常，眶上脊发育不良，拇指变宽，小手,AR,,
Dyggve-Melchior-Clausen disease,Dyggve-Melchior-Clausen病,223800;304950,Dyggve-Melchior-Clausen disease,,,小头畸形，面容粗糙，额头倾斜，短颈，鸡胸，扁平椎骨，干骺端异常，智力残疾，全面发育迟缓，关节僵硬，神经语言障碍，脊柱侧弯，骨骼发育不良，驼背，髋关节脱位，膝外翻，髂骨异常，短肢，手腕异常，髋骨异常，脊柱前凹过度，齿状突发育低下，椎管狭窄，不成比例的身材矮小，不成比例的短躯干性矮小，骨骺异常，出生后生长迟缓，短胸部,AR，XR,,
Encephalopathy due to sulfite oxidase deficiency,,252150;252160;272300;615501,,Sulfite oxidase deficiency due to molybdenum cofactor deficiency type A,钼因子缺乏性亚硫酸盐氧化酶缺乏症A型,小头畸形，脸颊丰满，长人中，眼睛深陷，近视，晶状体异位，癫痫发作，共济失调，痉挛状态，痉挛性四肢轻瘫，恶心和呕吐，发育倒退，呼吸模式异常，短鼻，氨基酸尿，偏瘫/轻偏瘫，婴儿期喂养困难，重度智力残疾，前额突出，厚嘴唇，运动异常,AR,,
Pyruvate dehydrogenase deficiency,E1-α丙酮酸脱氢酶缺乏症,245348;245349;246900;312170;608782;614111,Pyruvate dehydrogenase E1-alpha deficiency,,,小头畸形，眼球运动异常，癫痫发作，共济失调，肌张力减退，嗜睡，痉挛状态，构音障碍，全面发育迟缓，舞蹈手足徐动，步态不稳，震颤，生长延迟，胎儿宫内发育迟缓，面部形状异常，呼吸过速，锥体功能障碍，胼胝体发育缺陷/发育不全，婴儿期喂养困难，第四脚趾中节趾骨溶骨性缺陷,AR,,
Homocystinuria due to methylene tetrahydrofolate reductase deficiency,亚甲基四氢叶酸还原酶缺乏性高胱氨酸尿症,236250,,Homocystinuria due to MTHFR deficiency,亚甲基四氢叶酸还原酶缺乏性高胱氨酸尿症,卒中，癫痫发作，感觉异常，小头畸形，高胱氨酸尿症，步态不稳，不协调，肌无力，高同型半胱氨酸血症,AR,,
Isolated glycerol kinase deficiency,单纯型甘油激酶缺乏症,307030,,Glycerol Kinase Deficiency,甘油激酶缺乏症,隐睾，骨质疏松，智力残疾，癫痫发作，肌张力减退，全面发育迟缓，腱反射减低，代谢性酸中毒，神经语言障碍，脑电图异常，脊柱侧弯，肌病，血清肌酸磷酸激酶升高，脊柱前凹过度，肌电图异常，身材矮小，肾上腺皮质发育不全,XR,,
Carbamoyl-phosphate synthetase 1 deficiency,氨甲酰磷酸合成酶I缺乏症,237300,Carbamoyl-phosphate synthetase 1 deficiency,,,癫痫发作，肌张力减退，阵发性氨中毒，高氨血症，呼吸功能不全，氨基酸尿，低精氨酸血症,AR,,
Argininosuccinic aciduria,精氨基琥珀酸尿症,207900,Argininosuccinic aciduria,,,智力残疾，共济失调，高氨血症，脑电图异常，高谷氨酰胺血症，乳清酸尿症，氨基酸尿，身材矮小，低精氨酸血症,AR,,
Adenosine monophosphate deaminase deficiency,腺苷一磷酸脱氨酶缺乏症,612874;615511,Adenosine monophosphate deaminase deficiency,,,横纹肌溶解症，表型多样性，肌肉易疲劳，肌张力减退，肌无力,AR,,
BH4-Deficient Hyperphenylalaninemia C,BH4缺乏性高苯丙氨酸血症C型,261630,,BH4-Deficient Hyperphenylalaninemia C,BH4缺乏性高苯丙氨酸血症C型,小头畸形，智力残疾，全面发育迟缓，吞咽困难,AR,,
Isolated Dandy-Walker malformation,,220200,,,,枕骨突出，丹迪·沃克畸形，前额突出，颅底扁平症,,,
Cutis marmorata telangiectatica congenita,毛细血管-动静脉畸形综合征,219250,Capillary malformation-arteriovenous malformation syndrome,,,视网膜脱离，白瞳症，皮肤异常，大理石样皮肤，癫痫发作，皮下出血，下肢异常，上肢异常，下肢发育不全，皮肤发育缺陷/不全，动静脉畸形，皮肤毛细血管扩张症，皮肤糜烂,AR,,
Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome,,123155,,,,脑积水，长头畸形，眼距过宽，小下颌畸形，斜视，视神经萎缩，智力残疾，丹迪·沃克畸形，小脑发育不全，前额突出，眼眶颅缝早闭,AD,,
Corpus callosum agenesis-neuronopathy syndrome,感觉性神经病伴胼胝体发育不全,218000,,Hereditary Motor and Sensory Neuropathy with Agenesis of the Corpus Callosum,遗传性运动感觉性神经病伴胼胝体发育不全,小头畸形，智力残疾，癫痫发作，全面发育迟缓，胼胝体发育不全，脑电图异常，中脑导水管狭窄，偏瘫/轻偏瘫,AR,,
Neonatal severe primary hyperparathyroidism,新生儿严重型甲状旁腺功能亢进,239200,,Neonatal Severe Hyperparathyroidism,新生儿严重型甲状旁腺功能亢进,胸窄，干骺端异常，肝脏肿大，复发性骨折，磷酸钙代谢异常，甲状腺异常，肌张力减退，脾肿大，氨基酸尿，身材矮小,,,
Hypoplastic left heart syndrome,左心发育不全综合征,241550;614435,,Hypoplastic Left Heart Syndrome 1,左心发育不全综合征1型,主动脉弓发育不全，左心发育不全,AD,,
Neonatal hemochromatosis,,231100,,,,小下颌畸形，鼻子突出，鼻孔前翻，眼睑裂狭小，低血糖，先天性肝纤维化，血清铁蛋白增高，血清铁离子增高，新生儿黄疸期延长，乳头发育不全/不良，肾脏位置异常,AR,,
Hennekam-Beemer syndrome,,248910,,,,厚下唇，高腭，三角脸，视神经萎缩，瘙痒，皮肤着色异常，肌张力减退，神经反射消失，未能茁壮成长，巨脑室，身材矮小，小耳畸形，丘疹，小头畸形，颅缝闭合延迟，小下颌畸形，听力障碍，传导性听力障碍，眼球突出，睑裂上斜，风团，癫痫发作，皮下结节，腹痛，小手指屈指畸形，不规则的色素沉着，泛发性色素沉着，红斑，斑疹，手指弯曲，肥大细胞增多症,,,
Congenital diaphragmatic hernia,先天性膈疝,142340;222400;306950;610187,,Diaphragmatic Hernia 3,膈疝3型,多因子遗传，先天性膈疝，横膈发育不全，新生儿死亡,,,
Congenital hydrocephalus,先天性脑积水,236600;615219,,Nonsyndromic Hydrocephalus 1,非综合征型脑积水1型,癫痫发作，智力残疾，先天发病，大头畸形，脑积水,AR,,
Congenital hypothalamic hamartoma syndrome,先天性下丘脑错构瘤综合征,241800,,Hypothalamic Hamartoma,下丘脑错构瘤,眼部异常，斜视，视力异常，畏光，眼球震颤，情绪不稳，幻觉，焦虑，皮疹，光感性皮肤，共济失调，肌张力减退，反射亢进，吸收不良，偏头痛，脑电图异常，高中性氨基酸尿，尿液颜色异常,AR,,
